fetter_story-10000101,朴素的魔女
fetter_story-20000101,“珍珠蒙尘，亦是珍珠。”
fetter_story-10000102,追击的幽灵
fetter_story-20000102,“幽灵也不是都躲在阴影中。”
fetter_story-10000103,定型的方案
fetter_story-20000103,“有计划地前进，至少你会知道失败的理由。”
fetter_story-10000104,美味的杂音
fetter_story-20000104,“要想人不知……”
fetter_story-10000105,失败的启程
fetter_story-20000105,“人生是由成功与失败和失败组成的。”
fetter_story-10000106,有价的援手
fetter_story-20000106,“可以，都可以，只要你给钱。”
fetter_story-10000107,振翅的幼鸟
fetter_story-20000107,“努力是为了尽量不要留下遗憾。”
fetter_story-10000108,无价的真心
fetter_story-20000108,“在记忆这方面，人形 与人是一样的。”
fetter_story-10000109,魔女的夜晚
fetter_story-20000109,“听吧，这流淌在夜空中的乐声……”
fetter_story-10000110,耀眼的前程
fetter_story-20000110,“就当做是学费吧——这话我可是提前说过的哦。”
fetter_story-10000111,梦想的间奏
fetter_story-20000111,美好的事物需要形容，为它取个名字吧。
fetter_story-10000201,庄家
fetter_story-20000201,“当李·恩菲尔德结束了一天的任务，回到令她安心的地方时，却发生了预料之外的事……”
fetter_story-10000202,玩家
fetter_story-20000202,“李·恩菲尔德从未想过自己会加入这样的团体，尤其是这团体里还有比自己更格格不入的人……”
fetter_story-10000203,下注
fetter_story-20000203,“任何事都是实际做起来要比听上去更难……李清楚这个道理，但她不想输。”
fetter_story-10000204,叫牌
fetter_story-20000204,“这世界真是非常奇妙，尤其是当你以为你比别人技高一筹的时候。”
fetter_story-10000205,赔率
fetter_story-20000205,“坦然地接受失败，并且吸取教训，为下一次的成功做准备——任何人都说得出这样漂亮的话，但失败的人肯定不是她。”
fetter_story-10000206,分牌
fetter_story-20000206,“演员就位，帷幕拉开。”
fetter_story-10000207,幸运女神
fetter_story-20000207,“这世界上没什么是不可战胜的，正因相信这一点，我才能赢到现在。”
fetter_story-10000208,盲注
fetter_story-20000208,“狮子搏兔，狡兔三窟。”
fetter_story-10000209,1v1
fetter_story-20000209,“当你凝视深渊的时候，深渊也在凝视你。”
fetter_story-10000210,封牌
fetter_story-20000210,“生活并不是故事，又或是，在名为生活的故事里，人人都是主人公。”
fetter_story-10000301,猎户座
fetter_story-20000301,“当你的朋友一反常态的时候，你最好做好心理准备……”
fetter_story-10000302,镜面反射
fetter_story-20000302,“我当然知道自然而然是最好的办法，但谁又敢说保持自然就一定简单？”
fetter_story-10000303,漫游指南
fetter_story-20000303,“如果我有一本人生指南书，我一定用它来决定我每天的晚饭。”
fetter_story-10000304,万有引力
fetter_story-20000304,“有些吸引力，是命中注定的。”
fetter_story-10000305,占星术
fetter_story-20000305,“如果这世界上每一件事都有意义，我一定会发疯的。”
fetter_story-10000306,星象仪
fetter_story-20000306,“飞向宇宙//c浩瀚无垠”
fetter_story-10000307,银河
fetter_story-20000307,“学会敬畏你所不了解的事物。”
fetter_story-10000308,启明星
fetter_story-20000308,“决定自己的选择，决定自己的命运。”
fetter_story-10000309,丽达兄弟
fetter_story-20000309,“永远不要在失去之后，才懂得珍惜无价的宝物。” 
fetter_story-10000310,星空的记忆
fetter_story-20000310,“有形体的东西终将腐朽，无形体的意志却会永存。”
fetter_story-10000401,迷迭香
fetter_story-20000401,“那两个人是格里芬后勤部的骄傲，贪心的人会想，如果她们合而为一会不会更强。”
fetter_story-10000402,黑胡椒
fetter_story-20000402,“只有突发事件能够打破日常，并且带来一些从未有过的变化。”
fetter_story-10000403,莓果浆
fetter_story-20000403,“一点火星就可以点燃一片草原，需要的只是一阵方向正确的风。”
fetter_story-10000404,盐与糖
fetter_story-20000404,“有些事情的发展往往不如所想，美味的调料如果混在一起，味道反而会变得奇怪。”
fetter_story-10000405,热牛奶
fetter_story-20000405,“春田总是善解人意的。”
fetter_story-10000406,冰咖啡
fetter_story-20000406,“G36总是一丝不苟的。”
fetter_story-10000407,蛋白质过量
fetter_story-20000407,“有时，太善解人意了。”
fetter_story-10000408,咖啡因上瘾
fetter_story-20000408,“有时，太一丝不苟了。”
fetter_story-10000409,调味
fetter_story-20000409,“你尝试过在西瓜上撒盐吗？”
fetter_story-10000410,盐西瓜
fetter_story-20000410,“那是双倍的可口。”
