()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:……最终，我顺利返回了格琳娜的身边。+虽然我不了解这个疗养院究竟在地球的什么地方，但我知道，她们在我的身边，所以……
NPC-Kalin(9)<Speaker>格琳</Speaker>||:指挥官——！！
NPC-Kalin(9)<Speaker></Speaker>||<黑屏1>:<color=#A9A9A9>这个大大的拥抱，让我知道那场噩梦般的战役，终于结束了。</color>+<color=#A9A9A9>而我，终于回家了。</color>
()||<BIN>97</BIN><黑屏2>:……第二天，我在格琳的陪伴下坐在运输机上，来到了新的基地。+当然，404的人形们又在夜晚消失了。+我不知道下次见面是什么时候，也许她们并不会在乎，但我会记住的。
NPC-Kalin(9)<Speaker>格琳</Speaker>||:指挥官，欢迎来到格里芬新的基地。+在某位不知名的先生赞助下，我们现在拥有了全新的工作环境和设施。
NPC-Kalin(9)<Speaker>指挥官</Speaker>||:……<c>新的装束很酷哦，格琳！<c>那究竟是谁，居然为我们做了这么多？<c>克鲁格先生和赫丽安小姐呢？
NPC-Kalin(9)<Speaker>格琳</Speaker>||<分支>1</分支>:是吗？都是作战需要啦，这段时间我也努力学习了很多呢。+我和人形们都花了很长时间才适应新的基地呢，现在轮到您了哦。
NPC-Kalin(9)<Speaker>格琳</Speaker>||<分支>2</分支>:不清楚，不过帕斯卡小姐也为格里芬的重建花了很大精力。+同时，我们也会面临很多新工作，要准备好重新忙碌了哦，指挥官。
NPC-Kalin(9)<Speaker>格琳</Speaker>||<分支>3</分支>:这个……我们稍后再谈吧，这件事哈维尔先生了解得更清楚一点。+我相信……那些新闻说的并不是真的……
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Kalin(9)||:啊……格里芬最可靠的指挥官，早上好！+当然，这对我算不上惊喜，格琳娜小姐一小时前已经跟我说你会回来，所以我在这里等待很久了。
NPC-Havel(0);NPC-Kalin(9)<Speaker>格琳</Speaker>||:哈维尔先生，指挥官刚刚回到基地，身体状态不是很好，需要休息……
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Kalin(9)||:当然当然，但是我还是强烈地请求能占用您的一些时间，只要几分钟，我答应过“那些人”。
NPC-Havel(0);NPC-Kalin(9)<Speaker>格琳</Speaker>||:“那些人”？
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<黑点1>:格里芬的大客户，我们一定要把这个业务拿下，来吧，用不了太久。
()||<BIN>97</BIN><黑点2>:哈维尔不顾格琳娜反对，拉着我拐进了长廊深处，来到一个指挥室。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||:祝贺你活了下来，虽然受了不少苦。+但你得知道，我们没有休息的时间。+顺便你喜欢新的基地吗？没错，那个神秘赞助人就是我，但其他人没必要知道，因为从现在开始，我们将面临很多很多秘密，知道的人越少越好。
