()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>168</BIN><BGM>BGM_Moon</BGM>:……+入夜后的城市中，某个难得昏暗的小巷。+在监视器看不到的死角里，AR15静静地坐着。城市的灯光从巷子外投进来，映在她的眼中。+哪怕是脚步声响起的时候，她也没有回头，而是——+
AN94(5)<Speaker>AN94</Speaker>||:把枪对着我的话，我也可能会下意识地还击。
AN94(5);AR15Mod(0)<Speaker>AR15</Speaker>||:既然是这样，就不要从我背后出现。
AN94(5);AR15Mod(0)<Speaker></Speaker>||:AR15收回枪，正要站起来，AN94就放低了重心，半跪在她面前。+这并不是表示效忠，只是一个方便接下来要做的事的准备动作。AR15很清楚这点，于是将目光放在她卸下的沉重的背包上。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:我带着装备和电池过来，接下来很可能要持久作战，安洁不希望我们在来回补给上浪费时间。
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:你是怎么过来的？
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:下水道。刚才的行动AK12找到了这个城市的下水道地图，所以她就交给我了，有些地方很方便隐藏和落脚。+不过地图还不是很完善，加上有可疑的屏蔽源最好不要靠近，筛选过后可行线路只有两三条。
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:这里有那些白色的家伙在，没有屏蔽源才奇怪呢。+让我看看你带来的……+弹药……这么多，两个人应该够用了。信号过滤组件，生物热能分析器……怎么还有撬棍？
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:AK12说让我带上，可能有需要。还有这是你的无线电，换过加密方式了。
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:谢谢……那这个算什么？
AN94(0);AR15Mod(0)<Speaker></Speaker>||:AR15举起战术包底下垫着的一本书。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:是《圣经》。
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:这个也是AK12让你带的？
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:嗯。她说这个你在作战前可以用上。
AN94(0);AR15Mod(5)<Speaker>AR15</Speaker>||:怎么可能……+……原来，书里放着预载功能型插件的芯片。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(5)||:现在你无法连接齐纳网络，芯片可以帮助你更新需要的功能。
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:……真是多谢那么为我着想了。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:这是AK12准备的，要感谢的话就感谢她吧。
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:几句话不离AK12，你到底有多喜欢她？
AN94(4)<Speaker>AN94</Speaker>;AR15Mod(0)||:这不是喜欢……+我从出厂就这么被设计，伴随她保护她，就是我存在的意义，行动的道标，我的命运和归宿。这些形容才是准确的。
AN94(4);AR15Mod(4)<Speaker>AR15</Speaker>||:听起来有点恶心。
AN94(3)<Speaker>AN94</Speaker>;AR15Mod(4)||:从你的行动记录来看，你对M4做的事，似乎和我没有什么太大区别。
AN94(3);AR15Mod(4)<Speaker>AR15</Speaker>||:那是因为该死的核心命令……+但是对现在的我来说M4已经没什么意义了。+而你的话，你的描述就像是那本圣经里的信徒之于上帝。+真是病态。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(4)||:你看过圣经吗？
AN94(0);AR15Mod(4)<Speaker>AR15</Speaker>||:我的资料库里有一些基础知识，包括人类的宗教和生活信息。+……人类为神付出信仰，从而指望神能拯救他们的命运。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(3)||:那么……你相信神吗？
AN94(0);AR15Mod(4)<Speaker>AR15</Speaker>||:人形为什么要相信神？莫非你的心智已经脆弱到需要神来填补和安慰了么？
