enemy_illustration-10000027,建筑师
enemy_illustration-20000027,擅长远程破坏和火力支援，作战能力很强，通常独来独往。活泼开朗的没头脑元气少女，什么时候都兴高采烈，对格里芬也没有敌对意识，对于铁血只能最低限度地服从命令，但是对轰炸和破坏十分热心，所以作为敌人仍然十分危险。
enemy_illustration-30000027,该单位将向预警位置制造较强伤害，且附带范围溅射，请注意指挥人形及时移动规避。
enemy_illustration-10000005,稻草人
enemy_illustration-20000005,擅长收集和分析情报，并不擅长正面作战，在铁血人形中地位较低。理性派，无口毒舌，忠于职守，鄙夷感性，面对感情丰富却只懂得服从的格里芬人形充满优越感。
enemy_illustration-30000005,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000045,代理人
enemy_illustration-20000045,负责伊莱莎与下属铁血的沟通联络工作和后勤管理，作战人形都直接听从她的命令，地位极高，无论战斗还是指挥都很擅长，可以指挥所有作战人形。冷淡平静，有条不紊的言行做派，对敌我都会用尊敬的语气，但实际上除了对主人十分尊重之外，称呼他人的词汇都很低劣，尤其对于格里芬更是充满蔑视。
enemy_illustration-30000045,在该角色生成护盾时，请注意集中火力将护盾击破以中断蓄力，避免蓄力的高伤害攻击。
enemy_illustration-10000008,刽子手
enemy_illustration-20000008,相当于精英斥候，比稻草人地位稍高，两人经常搭档。莽撞冲动，大大咧咧的女汉子，热衷于堂堂正正的战斗，并不喜欢欺负弱者。
enemy_illustration-30000008,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000020,刽子手Elite
enemy_illustration-20000020,比起使用战术，更偏向于正面对决的铁血精英人形，挥舞的长刀在原本的基础上进行了改进，加强了近距离作战能力，热衷于堂堂正正的战斗，并不喜欢欺负弱者。
enemy_illustration-30000020,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000011,猎手
enemy_illustration-20000011,机动和智能都比较高，擅长骚扰和追击作战，需要稻草人与刽子手的配合才能发挥最强的实力。沉着冷静，喜欢用各种手段将敌人逼到走投无路再活捉，面对格里芬十分高傲，但不屑于使用过于卑劣的手段。
enemy_illustration-30000011,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000019,猎手Elite
enemy_illustration-20000019,机动和智能都比较高，擅长骚扰和追击作战的铁血精英人形，在原本的规格上，将搭载的演算芯片进行了大幅度升级，现在她更加沉着冷静，能够熟练运用各种手段将敌人逼至绝路。
enemy_illustration-30000019,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000017,干扰者
enemy_illustration-20000017,负责提供作战策略，也擅长破解和干扰工作，可以直接指挥作战人形，是稍高级的人形，直接对计量官负责。优雅温和的言行背后，令人感到的是巨大的空洞，喜欢人类的戏剧，可能是希望从中找到自己的个性。
enemy_illustration-30000017,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000026,计量官
enemy_illustration-20000026,主要担当指挥行动和人员调度，可以直接指挥作战人形，也具备不小的作战能力，地位较高，直接对代理人负责。认真严谨，一丝不苟，言行中透露出一股凛然利落的气质，即使对于敌人也很讲求原则和礼节。
enemy_illustration-30000026,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000023,炼金术士
enemy_illustration-20000023,擅长应对各种战术需求，也精通审讯逼供，是铁血作战的精英，和破坏者有时会搭档。狂妄自大，嚣张而残忍，为达目的不择手段，有施虐倾向，将格里芬视为满足欲望的玩物，不过心理成熟，可以为铁血的同伴挺身而出。
enemy_illustration-30000023,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000035,法官
enemy_illustration-20000035,偏向指挥能力，负责铁血总部的防御和安全系统，相当于伊莱莎的侍卫，只会听从伊莱莎个人的命令，是蝴蝶事件之后才制造的人形，整天面对梦想家很头疼。严肃古板，充满军人的威严和风范，对伊莱莎绝对忠诚，但个子比较矮小，让人觉得缺乏气势，提出这一点的人无论敌我都会倒大霉。
enemy_illustration-30000035,该单位攻速较高、伤害一般，且会同时攻击多个单位，推荐使用霰弹枪人形搭配足够的护甲进行抵御，同时请注意及时躲避地面的紫色区域，避免受到持续的伤害以及弱化效果。
enemy_illustration-10000018,破坏者
enemy_illustration-20000018,擅长爆破任务，解除炸弹也是专家级的，作战能力也不错，和炼金术士有时会搭档。平时高傲，毒舌，实际上是个傲娇，有点小孩子脾气，逼急了会哭鼻子，十分在意自己的身高。
enemy_illustration-30000018,该单位具有极高的单发伤害，但是攻速较慢，命中一般，回避型人形会有更好的防御效果。
enemy_illustration-10000034,破坏者Plus
enemy_illustration-20000034,原本的破坏者被梦想家改造素体之后的全新姿态，火力得到大幅增强，威力较之原本更上了一层楼，但性格与心智并没有太大的改变。
enemy_illustration-30000034,该单位将向预警位置制造较强伤害，请注意指挥人形及时移动规避。
enemy_illustration-10000024,梦想家
enemy_illustration-20000024,偏向作战能力，拥有超远距离定点打击的能力，由伊莱莎直接下令指挥，是蝴蝶事件之后才制造的人形，因为自身能力不需要正面出击，所以平时只呆在铁血总部，以捉弄法官为乐。优雅的笑容中透着傲慢和难以捉摸，精神状态极不稳定，总是以自我为中心作战中会露出疯狂而不受控制的一面，加上可怕的破坏力，连同伴的安全都不会考虑所幸的是通常不会出现在正面战场上。
enemy_illustration-30000024,该单位射程较远，请注意梯队整体移动速度，避免移动时间过长导致战损加重。
enemy_illustration-10000021,衔尾蛇
enemy_illustration-20000021,擅长短距离的突破或者防御作战，智能和作战能力很高，是蝴蝶事件之后才制造的人形，但因为是制造时期的试验品，AI极不稳定且很难被控制。表面沉稳内心高傲，拥有强劲的武力和智力优势，但是实战经验较少，而且行事风格捉摸不定，令敌我双方都难以预判，因此具有极高的危险度。
enemy_illustration-30000021,该单位将向预警位置制造较强伤害，请注意指挥人形及时移动规避。
enemy_illustration-10000022,衔尾蛇Elite
enemy_illustration-20000022,擅长作战以及战术演算的高规格铁血精英人形，各方面性能都在极高水平，是战场上的多面手，现在她的各方面的能力也因为取得了多种战术资料而大幅增强，她表面沉稳内心高傲……但是实战经验较少，而且行事风格捉摸不定，令敌我双方都难以预判，因此将她投入到战场上仍然具有一定的风险。
enemy_illustration-30000022,该单位将向预警位置制造较强伤害，请注意指挥人形及时移动规避。
enemy_illustration-10000033,末日魔犬
enemy_illustration-20000033,铁血“兵蚁”的超级升级版，无论体型，装甲还是火力都获得大幅提升，甚至可以容纳人形心智（不完全），不过性价比不高，难以被量产，战术定位也不准确，连研发记录都是个谜团，极少有出场的机会。
enemy_illustration-30000033,该单位将向预警位置制造较强伤害//c注意指挥人形及时移动规避
enemy_illustration-10000044,M16A1
enemy_illustration-20000044,遭‘伞’病毒感染而铁血化的原AR小队所属格里芬战术人形M16A1，不论是外表还是性格都产生了极大的变化，唯一不变的是值得信赖的战术能力。作为伙伴时令人放松，作为敌人时则令人胆寒。
enemy_illustration-30000044,信标对不同枪种人形的标识会对铁血化的M16A1自身产生不同增益。我方区域内被放置信标时，请注意选择合适的枪种人形踩点进行标识。
enemy_illustration-10000004,切割者
enemy_illustration-20000004,铁血的常规作战傀儡，装配有短程冲锋武器，机动性较高，战场中常充当先锋或侦查角色。
enemy_illustration-30000004,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000007,胡蜂
enemy_illustration-20000007,铁血的常规作战傀儡，装配有远程突击武器，火力与低级军用人形相当，小规模战斗的主要战斗力。
enemy_illustration-30000007,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000010,护卫者
enemy_illustration-20000010,铁血的高级作战傀儡，装配有护盾和短程火力武器，如外形所见的高防御护卫型角色，一般会用于防御重要单位，或者作为高级先锋在部队推进时出场。
enemy_illustration-30000010,该单位为近战单位，防御能力较强，但相对的对我方造成有效伤害的能力较弱，主要威胁来自其他负责输出的单位，请注意选用合适的枪种人形以优先处理被护卫者掩护的单位。
enemy_illustration-10000057,护卫者SWAP
enemy_illustration-20000057,护卫者的升级版，装配的护盾和短程火力武器均得到了加强，在原本的高防御基础上变得更加坚固。
enemy_illustration-30000057,该单位为近战单位，防御能力较强，但相对的对我方造成有效伤害的能力较弱，主要威胁来自其他负责输出的单位，请注意选用合适的枪种人形以优先处理被护卫者掩护的单位。
enemy_illustration-10000009,猎鸥
enemy_illustration-20000009,铁血的常规作战傀儡，装配有远程狙击武器，火力和精准较高但本体脆弱，常规战场中必须小心的敌手。
enemy_illustration-30000009,该单位主要担当后排输出，攻速较慢、命中较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排的人形进行处理。
enemy_illustration-10000056,猎鸥SWAP
enemy_illustration-20000056,猎鸥的升级版，装配的远程狙击武器得到了火力和精准度上的加强，同时脆弱的本体也变得稍微具备生存性，是更加可怕的对手。
enemy_illustration-30000056,该单位主要担当后排输出，攻速较慢、命中较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排的人形进行处理。
enemy_illustration-10000029,痛击者
enemy_illustration-20000029,铁血的常规作战单位，装配有远程机枪武器，火力和射速较高，主要用于战场的火力输出和压制。
enemy_illustration-30000029,该单位攻速较高、伤害一般，推荐使用霰弹枪人形搭配足够的护甲进行抵御。
enemy_illustration-10000059,痛击者SWAP
enemy_illustration-20000059,痛击者的升级版，装配的远程机枪武器火力得到增强的同时，也加配了更多装甲，火力输出和压制力得以进一步提高。
enemy_illustration-30000059,该单位攻速较高、伤害一般，推荐使用霰弹枪人形搭配足够的护甲进行抵御。
enemy_illustration-10000028,残兽
enemy_illustration-20000028,铁血的新型近距离作战单位，会快速接近敌人造成可怕的杀伤，同时装甲薄弱所以容易被破坏。
enemy_illustration-30000028,该单位拥有较高的破甲值，对霰弹枪人形来说是个危险的存在，请注意避免我方霰弹枪人形与她接触。推荐使用冲锋枪、手枪等回避型人形担当前排。
enemy_illustration-10000012,龙骑兵
enemy_illustration-20000012,铁血的高级作战傀儡，装配有小型代步机甲和突击武器，无论火力，射程，机动性都不容小觑，经常扮演铁血战场上的攻坚角色。
enemy_illustration-30000012,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000058,龙骑兵SWAP
enemy_illustration-20000058,龙骑兵的升级版，装配的代步机甲和突击武器都得到了加强，是综合素质方面进化最彻底的铁血单位，要谨慎与其交手。
enemy_illustration-30000058,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000006,兵蚁
enemy_illustration-20000006,铁血的低级作战机甲，战斗能力较弱但适合量产，通常用于警卫和搜寻任务，采用粗暴的冲撞攻击，成群之后战斗力不容小觑。
enemy_illustration-30000006,该单位近战输出能力极高，但相对的自身生存能力极差，推荐使用能快速造成范围伤害的人形或突击步枪人形在接触前完成歼灭。
enemy_illustration-10000003,侦查者
enemy_illustration-20000003,铁血的低级作战机甲，作战能力较弱，但机动性高且易于隐蔽，常用于前线侦察和情报采集。
enemy_illustration-30000003,该单位闪避较高，请注意梯队的命中能力是否足够应对。
enemy_illustration-10000002,巡游者
enemy_illustration-20000002,铁血的低级作战单位，火力和机动性都较弱，主要用于己方阵线的巡逻和侦查任务。
enemy_illustration-30000002,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000055,巡游者SWAP
enemy_illustration-20000055,巡游者的升级版，较弱的火力和机动性都得到了补足，现在可以作为正面战场的强大火力进行驱动。
enemy_illustration-30000055,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000013,劫豹
