()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:...
？？()<Speaker>??</Speaker>||<BIN>9</BIN>:M4... + ... + M4A1...
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:... +I... Where am I...
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><黑屏2>:...! + This... +A...AR...
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:Don't squirm. +You're really heavy.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><BGM>BGM_Wake</BGM>:... +Is that...really you?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:Don't move your head. Hearing my voice should be enough, right?
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:Why... +...I don't believe it! +AR-15... You...you're alive?!
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:Let's get out of here first. I'll explain it to you afterward.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:But why... Why did you show up here and now...
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:I have a mission of my own. Running into you was simply a coincidence. +But...I guess it's not a bad thing.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:Put me down, I'll walk on my own.
AR15()<Speaker>ST AR-15</Speaker>||<BIN>118</BIN>:I wouldn't need to carry you if you could walk.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:...?! +My body...is not responding...?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:If you want to blame someone for it, she's standing beside me... +Something went wrong when she disconnected you. It caused slight damage to your neural module, so your ability to move has been temporarily restricted.
AK12()<Speaker>AK-12</Speaker>||<BIN>118</BIN>:Da, da, it's kind of my fault, which is why I'm carrying this case for you. +Still, it's also your own people's fault for installing such sophisticated modules in an outdated T-Doll, right?
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:That's... Whose voice is that?
