()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Sneak</BGM>:……タリン郊外。
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>指揮官、先の二時間、タリン市内の未知の信号が絶えずM4にアクセスしようとしてたわ。その他は異常なし。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>他のグリフィン部隊の人形も電子攻撃は受けていないわ。私たちは引き続き防壁によるサポートを行う。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>では、定期連絡を終了する。これから彼女たちの後を追ってタリン市に入るわ。</color>
指挥官()<Speaker>指揮官</Speaker>||:そうか……分かった、また連絡を頼む。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:ん？
NPC-Kalin(0)<Speaker>カリーナ</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:指揮官さま、いまお時間大丈夫ですか？
NPC-Kalin(0)<Speaker>指揮官</Speaker><通讯框>||:大丈夫だよ。もしかして先遣小隊からの通信？//nあれは最優先だから、今後は直接つないでくれればいいよ。
NPC-Kalin(3)<Speaker>カリーナ</Speaker><通讯框>||:いえ、16Labの……ペルシカさんからです。
NPC-Kalin(3)<Speaker>指揮官</Speaker><通讯框>||:（来たか……ハーヴェルが予言した通りだった。）+……分かった、繋いで。
()||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:……（通知音）
NPC-Persica(0)<Speaker>ペルシカ</Speaker><通讯框>||<BGM>BGM_Room</BGM>:<color=#00CCFF>あ……指揮官……久しぶりね。</color>
NPC-Persica(0)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>あの……えっと……色々言いたいことがあったはずなのに、こうして連絡してみると、逆に……</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:数ヵ月ぶりですね、連絡いただけてうれしいです。
NPC-Persica(0)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>……うそ、まだ数ヶ月？一年に満たないはずなのに、すごく長い時間が経ったように思える。</color>
