()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>357</BIN><BGM>10254</BGM>:通过丹德莱的转接，指挥官一行发现玛赫莲的虚识图景里，有着超乎寻常数量的记忆碎片……
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||:<color=#00CCFF>真是有意思啊……</color>
NytoIsomer(7)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker>||:从刚刚开始，你就一个人在那嘀嘀咕咕的，你到底发现了什么？
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>;AR15Mod(0)||:<color=#00CCFF>玛赫莲真是一个矛盾的集合体，她的虚识图景的搭建结构看上去是帕拉蒂斯很早期的技术了，但她的记忆碎片的呈现方式却是我从未在涅托身上见过的。</color>
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:又新又旧吗……
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>;RO635Mod(0)||:<color=#00CCFF>那些在塔林被遗弃的异构体的记忆碎片还只是清晰度低的视频片段的集合，而到玛赫莲，她的记忆已经是经过数据化后的产物了。</color>
NytoIsomer(7)<Speaker>指挥官</Speaker><通讯框>||:她的虚识会很难处理吗？
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||:<color=#00CCFF>侵入她的虚识本身不难，但这种规模的记忆碎片，简直不知道从何入手。</color>
NytoIsomer(7)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker>||:不管是什么结构，都可以按照时间顺序来确认吧。
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>;AR15Mod(0)||:<color=#00CCFF>如果能够这样做的话，我早就这样做了，但这里根本行不通。</color>+<color=#00CCFF>玛赫莲的记忆碎片上没有附着时间标识，我无法直接根据标识重新排列。</color>
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:怎么可能？！
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>;RO635Mod(0)||:<color=#00CCFF>事实如此。</color>
NytoIsomer(7)<通讯框>;M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:什么意思啊？
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:记忆碎片从产生的时候就会自动带上时间的标识，一般是不会被去掉的。+除非……
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>;RO635Mod(0)||:<color=#00CCFF>除非有人无聊到一帧一帧地去掉所有时间标识。</color>
NytoIsomer(7)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker>||:这样规模的记忆碎片，逐帧洗掉几乎是不可能的。
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:那就只剩一种可能了，她的记忆被人破坏重洗过，导致时间标识丢失，记忆混乱。
NytoIsomer(7)<通讯框>;M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:也就是说，其实玛赫莲自己也不太清楚过去到底发生了什么？
NytoIsomer(7)<Speaker>指挥官</Speaker><通讯框>||:……+有被植入记忆碎片的可能吗？
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||:<color=#00CCFF>没有。</color>+<color=#00CCFF>玛赫莲的虚识图景非常脆弱，植入记忆可能导致虚识全盘崩溃。</color>+<color=#00CCFF>另外，我先收集了一部分能被读取到的数据，但因为失去了顺序，这些数据重新组合可能会产生多种解读结果。</color>
NytoIsomer(7)<Speaker>指挥官</Speaker><通讯框>||:把能查看的碎片都确认一遍吧。
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>好，我从最近的开始找。</color>
()||<黑屏2><回忆><BIN>318</BIN><BGM>BGM_Empty</BGM>:……伯恩村。
NPC-Lilyan(0)<Speaker>艾尔莎</Speaker>||<BGM>m_avg_labyrinth</BGM>:……圣女姐姐，你有没有姐妹或者兄弟啊？
NPC-Machlian(4)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:唔，算是有一个妹妹吧。
NPC-Lilyan(0)<Speaker>艾尔莎</Speaker>||:哇，圣女姐姐这么温柔，你的妹妹一定很喜欢你吧！
NPC-Machlian(4)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……似乎不是呢。
NPC-Lilyan(0)<Speaker>艾尔莎</Speaker>||:诶，那你们关系不好吗？
NPC-Machlian(1)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:两只昆虫一起掉入了一个小土坑，它们既可以抱在一起取暖寻找生的机会，也可以相互践踏最后胜者为王。+而现在，这两只昆虫都没有任何行动，因为暴风雨还没有来临。+一旦风暴来袭，谁也不知道会发生什么。+大概就是这样的关系吧。
NPC-Lilyan(0)<Speaker>艾尔莎</Speaker>||:艾尔莎听不太懂……+但没关系，我世界第一喜欢圣女姐姐！
NPC-Machlian(4)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||<黑屏1>:哈哈，我也世界第一喜欢艾尔莎……
()<Speaker>指挥官</Speaker>||<黑屏2><关闭蒙版><BIN>357</BIN><BGM>BGM_Empty</BGM>:又是伯恩村的记忆……我们已经看过好几次了。
RO635Mod(0)<Speaker>RO635</Speaker>||:虽然清晰流畅，但是没有什么价值啊。
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||:<color=#00CCFF>没办法，似乎只有这段时期的记忆是清晰的。</color>
()<Speaker>指挥官</Speaker>||<黑屏1>:查查那些混乱的记忆碎片。
()||<黑屏2><BIN>70</BIN><回忆><BGM>10082</BGM>:……实验室。+浑身被桎梏在某种实验器械上。+一个面容扭曲模糊的男人坐在对面。
()<Speaker>□□</Speaker>||:现在感觉怎么样？
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:不太好……
()<Speaker>□□</Speaker>||:你还记得你是谁吗？
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……玛赫莲。
()<Speaker>□□</Speaker>||:你还记得我是谁吗？
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:你……你是……
()||:一段痛苦又混乱的记忆涌入脑海，但玛赫莲什么也说不来。
()<Speaker>□□</Speaker>||:记忆开始出现障碍了吗？+很好，比起昨天，今天的记忆清洗总算有了进展。+再清洗一次吧，也许我实验的突破就在今天了。
()<Speaker>助理</Speaker>||:是……
()||:男人的助理走来，在仪器上操作着什么。
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:你们要对我做什么……
()<Speaker>□□</Speaker>||:在清洗开始之前，给你看点你会喜欢的东西吧。
()||:男人将一张照片摆在玛赫莲的眼前。+那是一张温馨和睦的家庭合照，平凡普通的夫妻亲昵地倚靠在一起，中间的女孩大笑着，连缺失的门牙都仿佛在笑。
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:爸爸……妈妈……
()<Speaker>□□</Speaker>||:再告诉你一个小秘密。+你亲爱的爸爸妈妈，都死了。+准确地说，也不叫死了，毕竟现在还在村里游荡着，袭击每一个路过的活物呢。
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position><Shake>||:……+不……不……我不相信！+放开我！我要去找爸爸妈妈！
()||:剧烈地挣扎，对紧紧桎梏住自己的仪器没有任何作用。
()<Speaker>□□</Speaker>||:挣扎吧，用尽全力地挣扎吧！+反正等你醒来，你也不会再记得我们的谈话了。+可以开始清洗了。
()<Speaker>助理</Speaker>||<黑屏1>:是。
