operation-10000001,Backup Training
operation-10000002,Joint Training
operation-10000003,Special Support
operation-10000004,Joint Exercise
operation-10000005,Warm-Up Exercises
operation-10000006,Martial Law Patrols
operation-10000007,Wounded Evacuation
operation-10000008,District-Wide Search
operation-10000009,Frontline Investigation
operation-10000010,Rear Transport
operation-10000011,Operation CWAL
operation-10000012,Data Collection
operation-10000013,Outpost Fortification
operation-10000014,Message Interception
operation-10000015,Traffic Control
operation-10000016,Passage Lockdown
operation-10000017,Vision Support
operation-10000018,Supply Cutoff
operation-10000019,Map Extraction
operation-10000020,Coordinates Mapping
operation-10000021,Routine Inspection
operation-10000022,On-Site Rescue
operation-10000023,Route Tracking
operation-10000024,Stability Maintenance
operation-10000025,Rescue Assistance
operation-10000026,Long-Ranged Scouting
operation-10000027,Tech Extraction
operation-10000028,Battlefield Investigation
operation-10000029,Stronghold Surveillance
operation-10000030,Teammate Support
operation-10000031,Path Cleanup
operation-10000032,Dummy Tracking
operation-10000033,Intel Collection
operation-10000034,Fragment Analysis
operation-10000035,Site Exploration
operation-10000036,Route Alteration
operation-10000037,Outpost Cleanup
operation-10000038,Signal Investigation
operation-10000039,Blitz Rescue
operation-10000040,Enemy Suppression
operation-10000041,Verification Assistance
operation-10000042,Frontline Support
operation-10000043,Hinterlands Reconnaissance
operation-10000044,Seizing Intel
operation-10000045,Manpower Transport
operation-10000046,Surveillance Sabotage
operation-10000047,Exterior Camouflage
operation-10000048,Assault Support
operation-10000049,Repair Equipment
operation-10000050,Deliver Intel
operation-10000051,Impede Enemies
operation-10000052,Establish Base
operation-10000053,Emergency First-Aid
operation-10000054,Sabotage Traffic
operation-10000055,Retrieve Supplies
operation-10000056,Deconstruct Remains
