operation-10000001,応援訓練
operation-10000002,合宿訓練
operation-10000003,特殊支援
operation-10000004,合同演習
operation-10000005,準備運動
operation-10000006,巡回警備
operation-10000007,傷者搬送
operation-10000008,全域捜索
operation-10000009,前線調査
operation-10000010,後方輸送
operation-10000011,工廠配達
operation-10000012,資料収集
operation-10000013,掩体強化
operation-10000014,情報入手
operation-10000015,交通管制
operation-10000016,間道封鎖
operation-10000017,視界支援
operation-10000018,供給遮断
operation-10000019,地図強奪
operation-10000020,座標特定
operation-10000021,定期検閲
operation-10000022,現場救助
operation-10000023,経路追跡
operation-10000024,維持工作
operation-10000025,救援協力
operation-10000026,遠隔捜査
operation-10000027,技術抽出
operation-10000028,戦場捜索
operation-10000029,拠点監視
operation-10000030,友軍支援
operation-10000031,交通整理
operation-10000032,ダミー追跡
operation-10000033,情報収集
operation-10000034,欠片解析
operation-10000035,現場調査
operation-10000036,経路変更
operation-10000037,哨戒所殲滅
operation-10000038,信号検出
operation-10000039,迅速救助
operation-10000040,緊急制圧
operation-10000041,検証援助
operation-10000042,前線支援
operation-10000043,奥地偵察
operation-10000044,通信奪還
operation-10000045,人員輸送
operation-10000046,解読監視
operation-10000047,外観偽装
operation-10000048,突撃支援
