()||<BIN>7</BIN><Night><黑屏2>0.6</黑屏2><BGM>BGM_Sneak</BGM>:作战结束，计量官被消灭。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>7</BIN><Night>:辛苦了，404小队。+这次作战相当成功，多亏有你们配合。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:忤逆小队和AR小队的人打成一片了吗？+这还真是令人惊讶。
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>7</BIN><Night>:在战场上，拥有相同目的的人很容易达成共识。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:好吧。+不过你们居然直接把计量官解决了吗……+失去了一个套取情报的机会，很可惜啊。
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>7</BIN><Night>:战场上总会出现一些意外的。
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:哎呀哎呀……战场还真是个充满惊喜的地方呐。+比如之前那位固执的大小姐，总算改变心意参加战斗了呢。
AR15Mod(4)<Speaker>AR15</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:谢谢你的关心。+也许被用你的酬金维修的这只手打爆，会是个更大的惊喜吧？
AR15Mod(4);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:真是可怕啊。+现在我们姑且算队友，这样做真的好吗？
AR15Mod(4)<Speaker>AR15</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:敌人和朋友都不是永远的，UMP45。
AR15Mod(4);HK416(0)<Speaker>HK416</Speaker>||<BIN>7</BIN><Night>:容我打断一下你们的叙旧。+AR小队……你们只有两个人在这里？+M16呢？
M4A1Mod(3)<Speaker>M4A1</Speaker>;HK416(0)||<BIN>7</BIN><Night>:她失踪了。
M4A1Mod(3);HK416(0)<Speaker>HK416</Speaker>||<BIN>7</BIN><Night>:什么？+M16A1……？+你确定——
M4A1Mod(3)<Speaker>M4A1</Speaker>;HK416(0)||<BIN>7</BIN><Night>:事实如此。
HK416(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:……M4A1走开了。
HK416(0)<Speaker>HK416</Speaker>||<BIN>7</BIN><Night>:那个家伙……我不相信……
UMP45(2)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:……
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>7</BIN><Night>:这么快就和她们聊完了吗？
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:啊……
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:和她们说说场面话就够了。+现在说正事……任务已经完成了。
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>7</BIN><Night>:嗯，你们这次做得很好。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:那么，报酬呢？
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>7</BIN><Night>:报酬自然是相当丰厚的。+不过我想，你要的应该不止是常规的那些东西吧。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:明知故问。+告诉我，我在数据库里发现的那些东西——+欧伽斯系统，伊莱莎，以及到底是什么人利用了我……和40。
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<黑屏1><BIN>7</BIN><Night>:你拿到的那些情报，最终都会导向你真正想要的东西——+那就是蝴蝶事件的真相。
安洁()<Speaker>安洁</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:放心吧。+今天之后……+无论是你，我，还是格里芬的那些指挥官……+我们所有人，都会找到复仇的对象。
