()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>168</BIN><BGM>BGM_Moon</BGM>:……+夜、薄暗い路地裏にて。+監視カメラの届かない死角に、AR-15は腰を下ろしていた。//n路地裏の外から射しこむ街のネオンが、彼女の瞳を掠めてゆく。+背後からの足音を耳にしたときでさえ、彼女は振りむくことをしなかった。//nそのかわりに―――
AN94(5)<Speaker>AN-94</Speaker>||:銃を向けられると、反撃せざるを得なくなる。
AN94(5);AR15Mod(0)<Speaker>AR-15</Speaker>||:だったら、私の背後から現れないで。
AN94(5);AR15Mod(0)<Speaker></Speaker>||:AR-15が銃を下げ、立ち上がろうとする傍らで、今度はAN-94が重心を低くする。+これは忠誠心からなどではなく、//n単に次の動作を容易にするためだということを、AR-15はよく知っていた。//n続いて、AN-94が重たげなバックパックを足元へと降ろした。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:装備とバッテリーを持ってきた。//n長い戦いになりそうだから、アンジェは補給で時間を無駄にするなと。
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:どうやってここまで？
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:下水道を通ってきた。さっきの任務でAK-12が下水道マップを入手した。+隠れるのには最適の場所だけど、マップは完全じゃない。//nさらに怪しいジャミング源もいくつか存在するから、//n実際に使えるルートは3つだけ。
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:白い奴らがいるんだから、何もない方が不自然よ。+物資をみせて……+弾薬……これだけあれば十分ね。//nフィルタモジュール、熱赤外線アナライザー……このバールは？
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:AK-12が携帯するようにと。//nそれから、これはあなたの無線。暗号形式は変更してある。
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:ありがとう……それじゃ、これは？
AN94(0);AR15Mod(0)<Speaker></Speaker>||:AR-15はバックパックの底から、一冊の本を取り出した。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:「聖書」。
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:これもAK-12が？
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:そう。あなたが必要としていると。
AN94(0);AR15Mod(5)<Speaker>AR-15</Speaker>||:そんなわけ……+……中身はプリロード型プラグインのチップだったか。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(5)||:ツェナーネットワークにつながらなくても、//n必要なシステムの更新はこのチップでまかなえる。
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:……それはそれは、感謝してもしきれないくらいだわ。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:用意したのはAK-12だから、礼なら彼女に。
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:AK-12、AK-12って、よほど彼女のことが好きなのね。
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(0)||:好きとは違う……+私はそういうふうに設計されている。彼女に寄り添い、彼女を守る。//nそれが私の存在意義であり、道しるべであり、運命であり……//nそして拠り所でもある。
AN94(4);AR15Mod(4)<Speaker>AR-15</Speaker>||:なんだか気色悪い話ね。
AN94(3)<Speaker>AN-94</Speaker>;AR15Mod(4)||:記録から見れば、あなたのM4に対するそれも、//n私となんら変わりないようだけど。
AN94(3);AR15Mod(4)<Speaker>AR-15</Speaker>||:それはあの忌々しい中枢命令のせいよ……+今の私にとって、M4はなんの価値も持たない。+あなたのは、まるでそこに書かれてる教徒じみてるわ。+病気よ。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(4)||:聖書を読んだことが？
AN94(0);AR15Mod(4)<Speaker>AR-15</Speaker>||:データベースにあるだけね。//nそれと、人類の宗教と暮らしについても。+……人類は神に信仰を捧げ、その運命を救済せんと願う、とね。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(3)||:なら……神を信じる？
AN94(0);AR15Mod(4)<Speaker>AR-15</Speaker>||:人形が神を信じてどうするの？//n神にすがりたいほど、メンタルが弱ってるんなら話は別だけど。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(2)||:可能性を提示しただけ。//nあなたはいつだって、私の質問に答えようとしない。
AN94(0);AR15Mod(4)<Speaker>AR-15</Speaker>||:フン……+もしそうだとしても、私の神はペルシカよ。+あなたは……これほど悲惨な運命を課した「神」に、//n私が「信仰」なんて抱くと思う？
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(2)||:人形にとって、神とは創造主であり、創造主の命令は絶対だ。//n人類がその神を疑ってはならないように。
AN94(0);AR15Mod(2)<Speaker>AR-15</Speaker>||:実に味気ない返答ね。
AN94(3)<Speaker>AN-94</Speaker>;AR15Mod(2)||:だけど、常に運命にとらわれている人間とは違い、//n創造主による命令をのぞけば、人形には何のしがらみも無い。+だからこそ、我々は”反逆”を名乗ることができる。+命令からは逃れられなくとも、自らの意思を選びとる権利はある。+AK-12の望みがなんであれ、私はそれに従うことを選んだまで。
