()||<BIN>34</BIN><BGM>BGM_Frontline</BGM>:FN调查组行动结束之后……
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:57，你们的情况如何了？
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:来得正好，这里已经准备完毕了。+已经连上疑似“兔子”的信号线路，随时可以接通。
FAL(0);BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:…………
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……诺爱尔小姐，接下来就看你的了。
FAL(0);BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:……是！就交给我吧。
FN57(0)<Speaker>FN-57</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1>:那么，连接开始……
()||<BIN>9</BIN>:…………
BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN><黑屏2>:……这就是……“兔子”吗？……
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:那个……你好？
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:…………
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:…………+……再说点什么。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:哎？……好、好的。
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:……你是在……找“人偶”吗？+请看着我！……我就是你在找的人吧？
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……完全没有回应，是失败了吗？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:…………+我总觉得，好像哪里不太对……
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:怎么了？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:好像……不太一样……
FAL(0);GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Empty</BGM>:……歼灭……
FAL(0)<Speaker>FAL</Speaker>;GG_elfeldt_505(0)<通讯框>||<BIN>34</BIN>:……！
FAL(0);GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker><通讯框>||<BIN>34</BIN>:艾尔菲尔特·华伦泰……+将歼灭所有不合格的人偶们！
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:通讯中断……
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:……刚才的是……
FAL(0)<Speaker></Speaker>||<BIN>34</BIN><BGM>BGM_Empty</BGM><SE1>Explode</SE1><震屏>:轰！——
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:呃！……怎、怎么了！？
FAL(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Danger</BGM>:FAL！前方出现了大量铁血单位！
FAL(0)<Speaker>FAL</Speaker><通讯框>;FN49(0)||<BIN>34</BIN>:怎么会！……它们从哪里出现的！？
FAL(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>34</BIN>:不知道！就像凭空出现一样，没有外部入侵的痕迹！
