bingo_task_type-10000001,通常戦役勝利
bingo_task_type-20000001,通常戦役で{0}回勝利する
bingo_task_type-10000002,夜戦戦役勝利
bingo_task_type-20000002,夜戦戦役で{0}回勝利する
bingo_task_type-10000003,緊急戦役勝利
bingo_task_type-20000003,緊急戦役で{0}回勝利する
bingo_task_type-10000004,人形救援
bingo_task_type-20000004,任意のステージや戦闘で人形を累計{0}体救援する
bingo_task_type-10000005,人形強化
bingo_task_type-20000005,人形強化を{0}回行う
bingo_task_type-10000006,装備強化
bingo_task_type-20000006,装備強化を{0}回行う
bingo_task_type-10000007,人形製造契約消費
bingo_task_type-20000007,人形製造契約を累計{0}枚消費する
bingo_task_type-10000008,装備製造契約消費
bingo_task_type-20000008,装備製造契約を累計{0}枚消費する
bingo_task_type-10000009,快速製造契約消費
bingo_task_type-20000009,快速製造契約を累計{0}枚消費する
bingo_task_type-10000010,快速修復契約消費
bingo_task_type-20000010,快速修復契約を累計{0}枚消費する
bingo_task_type-10000011,人力消費
bingo_task_type-20000011,人力を累計{0}消費する（自律作戦を除く）
bingo_task_type-10000012,弾薬消費
bingo_task_type-20000012,弾薬を累計{0}消費する（自律作戦を除く）
bingo_task_type-10000013,配給消費
bingo_task_type-20000013,配給を累計{0}消費する（自律作戦を除く）
bingo_task_type-10000014,部品消費
bingo_task_type-20000014,部品を累計{0}消費する（自律作戦を除く）
bingo_task_type-10000015,戦友バッテリー獲得
bingo_task_type-20000015,戦友の宿舍からバッテリーを累計{0}回受け取る
bingo_task_type-10000016,ハート収集
bingo_task_type-20000016,タップしてハートを累計{0}個集める（戦術人形とカリーナを含む）
bingo_task_type-10000017,支援部隊使用
bingo_task_type-20000017,戦友の支援部隊を累計{0}回使用する
bingo_task_type-10000018,ハンドガンの戦術人形獲得
bingo_task_type-20000018,任意のハンドガンの戦術人形を{0}体獲得する
bingo_task_type-10000019,サブマシンガンの戦術人形獲得
bingo_task_type-20000019,任意のサブマシンガンの戦術人形を{0}体獲得する
bingo_task_type-10000020,アサルトライフルの戦術人形獲得
bingo_task_type-20000020,任意のアサルトライフルの戦術人形を{0}体獲得する
bingo_task_type-10000021,マシンガンの戦術人形獲得
bingo_task_type-20000021,任意のマシンガンの戦術人形を{0}体獲得する
bingo_task_type-10000022,ライフルの戦術人形獲得
bingo_task_type-20000022,任意のライフルの戦術人形を{0}体獲得する
bingo_task_type-10000023,アタッチメント装備
bingo_task_type-20000023,任意のアタッチメント装備を{0}点獲得する
bingo_task_type-10000024,弾倉装備
bingo_task_type-20000024,任意の弾倉装備を{0}点獲得する
bingo_task_type-10000025,人形装備
bingo_task_type-20000025,任意の人形装備を{0}点獲得する
bingo_task_type-10000026,大型人形製造
bingo_task_type-20000026,大型人形製造を{0}回行う
bingo_task_type-10000027,大型装備製造
bingo_task_type-20000027,大型装備製造を{0}回行う
bingo_task_type-10000028,支援報酬-快速製造契約
bingo_task_type-20000028,後方支援を通じて快速製造契約を{0}枚獲得する
bingo_task_type-10000029,支援報酬-快速修復契約
bingo_task_type-20000029,後方支援を通じて快速修復契約を{0}枚獲得する
bingo_task_type-10000030,支援報酬-装備製造契約
bingo_task_type-20000030,後方支援を通じて装備製造契約を{0}枚獲得する
bingo_task_type-10000031,支援報酬-人形製造契約
bingo_task_type-20000031,後方支援を通じて人形製造契約を{0}枚獲得する
bingo_task_type-10000032,ボス撃破
