tutorial_guide-10000100,基础战术
tutorial_guide-20000100,指挥作战的基本要领，学会这些内容后再让您的梯队出发吧
tutorial_guide-10000101,获得人形
tutorial_guide-20000101,首先，您需要了解如何建造战术人形。
tutorial_guide-10000102,人形升级
tutorial_guide-20000102,来了解一下提升人形等级的各种方式吧！
tutorial_guide-10000103,人形强化
tutorial_guide-20000103,强化战术人形是提升战斗力的重要一环。
tutorial_guide-10000104,人形扩编
tutorial_guide-20000104,为人形扩充编制，将可观地提升作战效能。
tutorial_guide-10000105,技能升级
tutorial_guide-20000105,也要记得给人形提升技能哦！
tutorial_guide-10000106,战斗技巧
tutorial_guide-20000106,合理安排梯队阵型，可能会在战斗中起到关键作用。
tutorial_guide-10000200,入门战术
tutorial_guide-20000200,觉得战斗开始变难了吗？参考这部分的内容提升战斗力吧
tutorial_guide-10000201,装备提升
tutorial_guide-20000201,是时候为战术人形生产更多装备了。
tutorial_guide-10000202,获得高阶人形
tutorial_guide-20000202,想获得更多高阶人形，您需要使用“人形重建”功能。
tutorial_guide-10000203,获取更多核心
tutorial_guide-20000203,核心不够用了吗？来了解一下核心的获取秘诀吧。
tutorial_guide-10000300,进阶战术
tutorial_guide-20000300,战术妖精们已入职格里芬。了解她们会让您的战斗更加顺利
tutorial_guide-10000301,获得妖精
tutorial_guide-20000301,让战术妖精加入战斗吧！
tutorial_guide-10000302,妖精战术
tutorial_guide-20000302,灵活使用妖精，让战斗变得更加顺利吧！
tutorial_guide-10000400,高阶战术
tutorial_guide-20000400,我们面对的是更加严酷的战场。升级人形的心智，然后带着重装小队出发吧
tutorial_guide-10000401,心智升级
tutorial_guide-20000401,该为她们心智升级了，请帮助人形突破她们的极限吧。
tutorial_guide-10000402,培养重装
tutorial_guide-20000402,重装小队准备就绪，请前往研发。
tutorial_guide-10000403,战场支援
tutorial_guide-20000403,战斗太艰难了？重装小队的战场支援或许能扭转战局。
tutorial_guide-10000500,人形换装
tutorial_guide-20000500,在战场之外，生活也要有一些乐趣，比如装点基地和为人形换上好看的服装
tutorial_guide-10000501,采购人形换装
tutorial_guide-20000501,装扮宿舍，装扮人形，好看就是正义。
tutorial_guide-10000502,赠送换装礼物
tutorial_guide-20000502,为了激励人形们，偶尔也给她们送点小礼物吧。
tutorial_guide-10000600,基地外交
tutorial_guide-20000600,认识一下其他的指挥官吧，多一些朋友总归没有坏处
tutorial_guide-10000601,结识好友
tutorial_guide-20000601,孤军奋战，不如交些好友。
tutorial_guide-10000700,自律管理
tutorial_guide-20000700,想在休息的时间得到额外收获吗？那就在下班前做一些自律管理吧
tutorial_guide-10000701,后勤支援
tutorial_guide-20000701,派遣梯队前往后勤，获取更多物资回报。
tutorial_guide-10000702,自律作战
tutorial_guide-20000702,下达自律作战的指令后，人形们将自主前往战斗，获取战役报酬和经验。
