()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<黑屏2><BGM>BGM_Danger</BGM><BIN>167</BIN>:……地下通路にて。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:AK-12！外にいる！？+鉄血が「バラクーダ」ノードを奪って逃げたわ！そこから奴らを止めて！
AK12(0)<Speaker>AK-12</Speaker><通讯框>||:<color=#00CCFF>奴ら、正門を突っ切ってきた！バイクを何台か調達したわ、座標もそっちに送付済みよ！今すぐ追いかければ、まだ間に合うはず！</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑屏1>:了解！すぐに向かうわ！
()||<黑屏1>0,5</黑屏1><BGM>BGM_Empty</BGM><BIN>9</BIN>:……同時刻。
()||<BGM>BGM_Room</BGM><BIN>2</BIN><黑屏2>:デルタゾーンの撤退ポイントでは、グリフィン一行がウルリッヒ主席をヘリコプターへと案内していた。
NPC-Ambassador(0)<Speaker>ウルリッヒ主席</Speaker>||:皆さん、本当にありがとう。+あなたと、そのお仲間が、困難を乗り越えられるよう祈っているわ。
RO635(2)<Speaker>RO635</Speaker>||:ありがとうございます、ウルリッヒ主席も……
()||:……ヴヴヴ。+RO635が別れの言葉を述べようとした時、通信機が鳴った。
NPC-KalinReporter(0)<Speaker>カリーナ</Speaker><通讯框>||:<color=#00CCFF>ROさん、首尾はどうです？</color>
RO635(0)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:主席は無事にヘリに搭乗しました、これより帰還します。そちらの様子は？
RO635(0);NPC-KalinReporter(0)<Speaker>カリーナ</Speaker>||:<color=#00CCFF>こちらも民間人たちを郊外へと案内し終えたところです。</color>+<color=#00CCFF>何故かはわかりませんけど、パラデウスの連中が攻撃をやめたおかげで、思ったよりすんなりいきました。</color>
RO635(0)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:そうですか……良かった。今どちらですか？すぐに向かいます。
RO635(0);NPC-KalinReporter(0)<Speaker>カリーナ</Speaker>||:<color=#00CCFF>それが……Kさんからの命令で、また市内に戻ることになっちゃいまして……</color>
RO635(4)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:またあのKですか？アイツの命令なんて、もう聞かなくていいはずでは？
RO635(4);NPC-KalinReporter(0)<Speaker>カリーナ</Speaker>||:<color=#00CCFF>アンジェさんが支援を必要としてるらしくて……それに……M16さんが鉄血と共に出現したそうなんです……</color>+<color=#00CCFF>で、指揮官さまいわく、すぐに動けと。</color>
RO635(0)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:M16が……わかりました。//n私たちもなんとかして向かいます、集合場所の座標を送ってもらえます？
RO635(0);NPC-KalinReporter(0)<Speaker>カリーナ</Speaker>||<黑屏1>:<color=#00CCFF>了解、今送ります。</color>
