 ()||<BGM>BGM_Room</BGM><BIN>27</BIN><边框>2</边框>:…………AR-15失踪五天后。
赫丽安()<Speaker>赫丽安</Speaker>||<边框>2</边框>:……克鲁格先生，以上就是有关AR-15的最新情报，指挥官和AR小组还在积极搜索中。+另外，刚刚404小队申请的【紧急指挥权】，我已经予以批准。
克鲁格()<Speaker>克鲁格</Speaker>||<边框>2</边框>:……不到万不得已，你不该给她们权限。
赫丽安()<Speaker>赫丽安</Speaker>||<边框>2</边框>:404面对的威胁，远比预想中严重。+或许那个干扰器，真的与【伞计划】有关。
克鲁格()<Speaker>克鲁格</Speaker>||<边框>2</边框><黑屏1>:嗯……+404小队现在在哪。
赫丽安()<Speaker>赫丽安</Speaker>||<BIN>9</BIN>:还在S06区，已经开始行动了。+更详细的情报，就等她们活着带回来吧。
 ()||<BGM>BGM_Empty</BGM><SE2>Alarm</SE2>:……同一时间，S06区，铁血争端地带。
UMP9()<Speaker>UMP9</Speaker>||<SE1>Battlefield</SE1>:喂，起床了。+416，快起床啦～！+喂～～～～！
HK416()<Speaker>HK416</Speaker>||<BGM>BGM_NightOPS</BGM>:呃……+……吵死了。
UMP9(3)<Speaker>UMP9</Speaker>||<睁眼><BIN>3</BIN><Night>:嗨！你还好嘛，416？
HK416()<Speaker>HK416</Speaker>||:如果想听我说“好极了”，就快帮我把石头挪开……
UMP9(3)<Speaker>UMP9</Speaker>||<黑屏1>:好吧，离铁血的围剿队到场还有三分钟，就让我做点什么吧。
UMP9(0)<Speaker>UMP9</Speaker>||<SE1>Battlefield</SE1><黑屏2>:（搬石头中）听到远处的炮火了吗？一旦情况不对我就开溜哦。
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:你敢转过身去，我就把你的脑袋扭回来——只有脑袋。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:别凶嘛，又不是我的错，谁让铁血有备而来呢。
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:不过是个通讯干扰器，它们犯得着那么拼命嘛。
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:我们把事情想得太简单了，这次赫丽安开价这么高，本来就有问题。
HK416(0);UMP9(2)<Speaker>UMP9</Speaker>||:是啊，现在遍地都是雷达站，一露头我们就要被集火。
HK416(0)<Speaker>HK416</Speaker>;UMP9(2)||:既然是夜间作战，就得快点占领那些雷达站，不然连视野都抢不到。
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:光靠我们俩可拿不下来，铁血这次围剿还有装甲部队呢。
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:是吗……+怪不得我们的子弹没用，能搞到穿甲弹吗？
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:45姐还在想办法，也不知道……有没有头绪呢……
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:别骗我了，9。45早就准备好了吧？
HK416(0);UMP9(2)<Speaker>UMP9</Speaker>||:（停手）诶？为什么……
HK416(0)<Speaker>HK416</Speaker>;UMP9(2)||:三分钟到了，你还没跑呢。
UMP9(3)<Speaker>UMP9</Speaker>||<黑屏1>:哈……♪+算你走运，这是最后一块了，出来吧。
UMP9()<Speaker>UMP9</Speaker>||<BIN>9</BIN><黑屏2>:我马上联系45姐，你先找个地方埋伏好。+不过说真的，铁血的突击队马上就到，你不先祷告一下吗？
HK416()<Speaker>HK416</Speaker>||<黑屏1>:如果45那边没问题，要祷告的就是铁血了。
UMP45(0)<Speaker>UMP45</Speaker><通讯框>||<黑屏2><BIN>3</BIN><Night><SE1>Battlefield</SE1>:呼叫UMP9，416那家伙死了吗？
HK416(2)<Speaker>HK416</Speaker>;UMP45(0)||:让你失望了，告诉我你现在就带我们撤退。
HK416(2);UMP45(0)<Speaker>UMP45</Speaker>||:别急着走嘛，416，我们还没打算认输呢。+我会带你们突围出来，然后9要与我会合，有新的任务。+416，G11还在铁血阵地窃听情报，你要穿过战场保护她的安全，然后我们会来接应你们。
HK416(2)<Speaker>HK416</Speaker>;UMP45(0)||:（叹气）别急着下令，你要让两个没有装备的人形，去迎战对面的装甲大军吗？
UMP9(2)<Speaker>UMP9</Speaker>;UMP45(0)||:（小声）那个……还得在黑灯瞎火中找到干扰器。
UMP9(2);UMP45(0)<Speaker>UMP45</Speaker>||:别担心，就在刚才，赫丽安把【紧急指挥权】交给了我。+格里芬还为我们开放了【装备】权限，你们的问题都不用担心了。
UMP9(3)<Speaker>UMP9</Speaker>;UMP45(0)||:太好了，有了格里芬的物资，梯队和穿甲弹都就解决了！
HK416(2)<Speaker>HK416</Speaker>;UMP45(0)||:那夜间的视野呢，现在我们连敌人都看不清。
HK416(2);UMP45(0)<Speaker>UMP45</Speaker>||:我们可以依靠手枪型人形的侦查能力，来提高大家的夜间视野。+另外，我会用梯队夺取雷达站的控制权，去获取更多的视野。
UMP9(3)<Speaker>UMP9</Speaker>;UMP45(0)||:穿甲弹、手枪人形、雷达站，只要搞定这三样，我们就有胜算了！
UMP9(3);UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:我们的视野有限，行动不能太冒失。+尽可能少地惊动敌人，准备万全后再行动吧。
