career_quest-10000001,战役任务：首次自律作战
career_quest-20000001,完成1次1-1自律作战（PS：自律作战可以让小队自动进行战斗。完成战斗获得人形或装备。获得关卡3枚勋章可开启该关卡自律作战）
career_quest-10000002,战役任务：首次后勤支援
career_quest-20000002,完成1次1-1后勤支援（PS：通过派遣小队执行后勤关卡，可以获得资源作为奖励运气好还可以获得各式契约）
career_quest-10000003,战役任务：首次在战斗中使用两支梯队
career_quest-20000003,完成1次战斗中两支梯队部署（PS：在战斗中使用多支梯队可以让战斗变的更为轻松）
career_quest-10000004,紧急行动：首次紧急战役
career_quest-20000004,完成1次紧急1-1
career_quest-10000005,紧急行动：紧急战役二
career_quest-20000005,完成1次紧急2-1
career_quest-10000006,紧急行动：紧急战役三
career_quest-20000006,完成1次紧急3-1
career_quest-10000007,紧急行动：紧急战役四
career_quest-20000007,完成1次紧急4-1
career_quest-10000008,紧急行动：紧急战役五
career_quest-20000008,完成1次紧急5-1
career_quest-10000009,紧急行动：紧急战役六
career_quest-20000009,完成1次紧急6-1
career_quest-10000010,紧急行动：紧急战役七
career_quest-20000010,完成1次紧急7-1
career_quest-10000011,紧急行动：紧急战役八
career_quest-20000011,完成1次紧急8-1
career_quest-10000012,夜战任务：首次夜战战役
career_quest-20000012,完成1次夜战1-1
career_quest-10000013,夜战任务：夜战战役二
career_quest-20000013,完成1次夜战2-1
career_quest-10000014,夜战任务：夜战战役三
career_quest-20000014,完成1次夜战3-1
career_quest-10000015,夜战任务：夜战战役四
career_quest-20000015,完成1次夜战4-1
career_quest-10000016,夜战任务：夜战战役五
career_quest-20000016,完成1次夜战5-1
career_quest-10000017,模拟作战：首次经验特训
career_quest-20000017,获得1次经验特训胜利（PS：通过模拟作战中的经验特训，可以使梯队中的人形获得大量的经验）
career_quest-10000018,模拟作战：首次强化练习
career_quest-20000018,获得1次强化练习胜利（PS：通过模拟作战中的强化练习，可以获得人形强化时使用的增幅胶囊）
career_quest-10000019,模拟作战：首次资料采样
career_quest-20000019,获得1次资料采样胜利（PS：通过模拟作战中的资料采样，可以获得训练资料升级人形技能）
career_quest-10000020,模拟作战：首次防御演习
career_quest-20000020,获得1次防御演习胜利（PS：选择最多4组梯队，通过防御无限波次敌人进攻，在防御演习结束时，根据达成波数获得装备校准券等奖励）
career_quest-10000021,编成任务：首次5员到齐
career_quest-20000021,完成梯队内5名人形编成
career_quest-10000022,编成任务：夜战作战-夜视准备
