()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><BIN>86</BIN><BGM>m_avg_casual</BGM>:五天后，已经初步被整理好的巷道里。
()<Speaker>扫扫</Speaker>||:我回来了！
Welrod(6)<Speaker>维尔德</Speaker>||:欢迎回来。
Welrod(6)<Speaker>扫扫</Speaker>||:扫扫拿到了今天的工资！零钱，还有机油！
NPC-handyman(0)<Speaker>锁匠</Speaker>||:喔，机油给我吧，给接待员修修关节。
()<Speaker>扫扫</Speaker>||:嗯！零钱存在扫扫肚子里，比信用点可靠！
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(6)||:不得不说，你是对的。
sub2000(5);Welrod(7)<Speaker>维尔德</Speaker>||:运气好罢了。+如果第一次没有成功的话，很难这么快就让大多数人振作起来。
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(7)||:继续这样下去就足够了……
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:不，这样不够。+大家的困境只是有所缓解，这样下去，迟早有一天还是会被彻底淘汰的。
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:人类也会有这样的一天，我们总不可能像人类那样建立一个养老院。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||<黑屏1><SE1>AVG_tele_connect</SE1>:我倒觉得可行。+米希亚，你看……我这几天在城里打探，发现这块地方是没有人使用的。
()<Speaker>米希亚</Speaker>||<黑屏2><BIN>39</BIN>:你说城边的荒地？+这里靠近黄区，的确没什么人会来。
()<Speaker>维尔德</Speaker>||:对。那里靠近净化塔，土壤都是净化过的干净地方。+城里的植物价格都不低，我想这种原始的培育方式反而是这里各位的优势。
()<Speaker>米希亚</Speaker>||:一旦人类赶我们走，我们还能逃到黄区，利用净化塔净化过的区域继续种植和交易……你是这样打算的吗？
()<Speaker>维尔德</Speaker>||<黑屏1>:对。但是我们得先和那里的人类交涉一下，用优化土壤的名义请求雇佣，应该不难。
sub2000(5)<Speaker>米希亚</Speaker>||<SE1>AVG_tele_disconnect</SE1><BIN>86</BIN><黑屏2>:我总觉得这个备用计划不乐观……算了。+让锁匠跟你去。
NPC-handyman(0)<Speaker>锁匠</Speaker>||:啊？谈判这样的细活儿，我可做不到！
Welrod(6)<Speaker>维尔德</Speaker>||:其他各位看起来也都不太敢去。+米希亚，你是这里的代表，总不能让我一个人去吧？
sub2000(5)<Speaker>米希亚</Speaker>||:……那就一起去。+先说好，有什么事的话，我可没办法应付，得全靠你了。
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:维尔德笑了笑，拉着她向城郊出发。
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Hello</BGM>:……+一个小时后，她们站在负责公司的门前。
Welrod(0)<Speaker>维尔德</Speaker>||:你好，我们是来应聘的。
NPC-Bodyguard1(0)<Speaker>保安</Speaker>;Welrod(0)||:啊，是预约的维尔德对吧。你旁边这位是？
NPC-Bodyguard1(0);Welrod(0)<Speaker>维尔德</Speaker>||:她叫米希亚。
NPC-Bodyguard1(0)<Speaker>保安</Speaker>;Welrod(0)||<BGM>BGM_Empty</BGM>:米希亚？
NPC-Bodyguard1(0)<Speaker></Speaker>;Welrod(0)||:听到这个名字，保安露出了微妙的表情。
NPC-Bodyguard1(0)<Speaker>保安</Speaker>||<黑屏1>:请二位在大堂稍等一下。
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>BGM_Room</BGM>:保安匆匆离开了。
sub2000(5)<Speaker>米希亚</Speaker>||:那个，维尔德……
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:怎么了？你怎么坐立不安的。+别怕，这里的人类很友善，我提前打听过，他们欢迎人形雇员。
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:不是……我得先出去一趟，马上回来。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:你去哪儿？等等……
Welrod(0)<Speaker></Speaker>||:不等维尔德拉住她，米希亚就匆匆地从公司正门离开了。
Welrod(0)<Speaker>维尔德</Speaker>||:什么啊，忽然就走了……
NPC-Powell(0)<Speaker>西装革履的人</Speaker>||:你好，维尔德小姐。+请问你是米希亚大人的同伴吗？
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:米希亚大人？我的确是米希亚的同伴。
NPC-Powell(0)<Speaker>西装革履的人</Speaker>;Welrod(0)||:那太好了，请在这里少坐片刻。+在米希亚大人回来之前，我们先在这里聊聊吧。
NPC-Powell(0);Welrod(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:维尔德有些疑惑，但仍然依言坐下。
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||<BGM>m_avg_labyrinth</BGM>:请容我自我介绍一下。我是人形天使教的司教之一，你可以叫我西格玛。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:……
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:不必摆出这种表情，我知道你前几天保护了离开教派的德尔塔，这没什么。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:你们对米希亚叫大人，难道说……
