furniture_establish-10010001,救助站墙纸
furniture_establish-20010001,救助站墙纸
furniture_establish-10010002,救助站地板
furniture_establish-20010002,救助站地板
furniture_establish-10010005,红十字
furniture_establish-20010005,红十字
furniture_establish-10010006,半透明挂屏
furniture_establish-20010006,半透明挂屏
furniture_establish-10010007,救助站灯
furniture_establish-20010007,救助站灯
furniture_establish-10010100,蒙尘的工作台
furniture_establish-20010100,看起来很久没有使用过的工作台，稍微修缮下，就可以开始帮助救治那些废土中流浪的动物了。
furniture_establish-10010101,简易工作台
furniture_establish-20010101,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。
furniture_establish-10010102,简易工作台
furniture_establish-20010102,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。
furniture_establish-10010103,简易工作台
furniture_establish-20010103,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。
furniture_establish-10010104,简易工作台
furniture_establish-20010104,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。
furniture_establish-10010105,简易工作台
furniture_establish-20010105,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。
furniture_establish-10010106,多功能工作台
furniture_establish-20010106,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。
furniture_establish-10010107,多功能工作台
furniture_establish-20010107,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。
furniture_establish-10010108,多功能工作台
furniture_establish-20010108,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。
furniture_establish-10010109,多功能工作台
furniture_establish-20010109,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。
furniture_establish-10010110,先进全功能工作台
furniture_establish-20010110,格里芬最先进的工作台，配备大型无影灯和自动化手术工具，不管是医治动物还是不慎负伤的指挥官都不在话下。
furniture_establish-10010200,尘封的猫窝
