mission_echo_info-10000001,地狱火
mission_echo_info-20000001,经历了短暂的希望，ART-556和P7的冒险走到了最后。
mission_echo_info-30000001,特工Vector：P7小姐……ART556小姐……$<color=#00BFFF>蒂玛：特工！发生什么事了！</color>$特工Vector：……我们被獠牙发现了。$特工Vector：她击杀了来自格里芬的两位。$<color=#00BFFF>蒂玛：可恶……</color>$<color=#00BFFF>蒂玛：……那你呢？她怎么没有攻击你？</color>$特工Vector：是的，她……她没有攻击我就离开了。$特工Vector：……请求追击。$<color=#00BFFF>蒂玛：嗯，小心行动……你的数据好像有些异常。</color>$<color=#00BFFF>蒂玛：别上她的当。</color>$特工Vector：了解。
mission_echo_info-10000002,獠牙
mission_echo_info-20000002,围绕着对獠牙的追踪，蒂玛最不希望见到的事情发生了。
mission_echo_info-30000002,Vector：我看到她了！$蒂玛：等等……特工Vector。$蒂玛：不要打草惊蛇！$獠牙：熟悉的气味……原来如此。$獠牙：你跟我是“一样的”吧。$Vector：什……！$蒂玛：特工？Vector？$蒂玛：喂！回应我！$獠牙：感谢赋予我们生命与灵魂的上帝吧。$獠牙：然后，把你的刀子刺到她的心脏里。$Vector？：我……$獠牙：——不要做别人的复制品，我的同伴。$Vector？：我是……地狱燃烧的复仇之火！$蒂玛：——完，完蛋了。$獠牙：很好~我们会很合得来的喔……地狱火。$地狱火：是的。$地狱火：以吾父之血，焚尽罪衍。$【通讯切断】
mission_echo_info-10000003,獠牙&地狱火
mission_echo_info-20000003,急于救援同伴的Vector并未察觉，自己已被暗影中的目光锁定。
mission_echo_info-30000003,Vector：R93？K5？$Vector：糟了……得赶快跟她们会合！$獠牙：……$獠牙：……这位就是“战术人形Vector”呢。$<color=#00BFFF>蒂玛：你，你想做什么！我警告你不要乱来！</color>$獠牙：真让人嫉妒，为什么您不会这样关心我呢？$<color=#00BFFF>蒂玛：嘶——我的鸡皮疙瘩！</color>$獠牙：呵呵……算了。$獠牙：早点解决掉吧。$獠牙：地狱火见到她会不开心的。
mission_echo_info-10000004,獠牙&地狱火
mission_echo_info-20000004,当直升机掠过天空，她们走向了最后的战场。
mission_echo_info-30000004,（直升机螺旋桨的声音）$獠牙：游戏快要结束了。$地狱火：……吾等会化作虚无吗？$獠牙：我们存在过，地狱火。$獠牙：不论结果如何，我们都会记得彼此。$地狱火：吾不想消失。$地狱火：业火还未能将黑暗吞噬……$獠牙：……$獠牙：……不会的，地狱火，我们不会结束的。$獠牙：只要让游戏永远进行下去就好了。$<color=#00BFFF>叛变特工：獠牙报告，已锁定直升机，防空导弹准备就绪，随时可以发射。</color>$獠牙：您只需要有我一个就够了……蒂玛小姐。$地狱火：……$獠牙：两个也可以。$獠牙：走吧，地狱火。
