()<Speaker>﻿</Speaker>||<BIN>47</BIN><BGM>BGM_Danger</BGM><SE1>Battlefield</SE1>:…………時を同じくして、「プリンセス･マリオン」留置所内部。+反撃作戦開始より1時間後の、4階医務室にて。　
FN49(0)<Speaker>FF FN49</Speaker>||<SE2>Gunfight</SE2>:あ、あの！ //nFNC、弾薬がもう切れそうです！
FNFNC(0)<Speaker>FF FNC</Speaker>||:え……でも私のじゃ使えないでしょ。
VZ61(1)<Speaker>スコーピオン</Speaker>||:そこっ、何やってるのよ！//nこっちはもういいって言ったでしょ！+下の階の敵が多すぎて、今にもやられちゃいそうだよ！
FN49(0)<Speaker>FF FN49</Speaker>||:でも、こっちの敵がまだ片付いていません！
VZ61(1)<Speaker>スコーピオン</Speaker>||<SE2>Gunfight</SE2>:でも、下の階の敵の方が多いよ！
FNFNC(0)<Speaker>FF FNC</Speaker>||<SE1>Battlefield</SE1>:でも、下の階の敵はまだずっと向こうじゃない！
VZ61(1)<Speaker>スコーピオン</Speaker>||:でも、奴らの射程距離ハンパじゃないんだもん！
FN49(0)<Speaker>FF FN49</Speaker>||<SE2>Gunfight</SE2>:でも、こっちの敵だってものすごい勢いなんです！
VZ61(1)<Speaker>スコーピオン</Speaker>||:うぅ……それも確かに……
VZ61(1)<Speaker>スコーピオン</Speaker>||<震屏><黑屏1>:ああああああっ！+指揮官もいないし、まともな策もないし！//n一体、どうしたらいいのよー！ 誰か助けてよー！！
()||<黑屏2><SE1>Explode</SE1><BGM>BGM_Empty</BGM><BIN>9</BIN>:…………バンッ！
FN49(0)<Speaker>FF FN49</Speaker>||:あれ……下の階の攻撃が収まったみたいです。+あ、あなたたちは……
M4A1(0)<Speaker>M4A1</Speaker>||:みんな、いったん攻撃をやめて、3階の宿舎ホールまで撤退して！
FN49(0)<Speaker>FF FN49</Speaker>||:え？ あなたって……
FNFNC(0)<Speaker>FF FNC</Speaker>||:うちの部隊のメンバーじゃないのに、どうして私たちに命令できるの？？
