()||<BIN>99</BIN><BGM>BGM_stage10</BGM><Night><黑屏2>:……作战结束。
NPC-Kalin(0)<Speaker>格琳</Speaker>||:太好了，我们做到了！+计量官停止了追击，指挥官，趁现在赶紧冲过去——
NPC-Kalin(0);BOSS-7(0)<Speaker>计量官</Speaker><通讯框>||:格里芬的指挥官，你们不会以为自己已经逃离我的掌心了吧？
NPC-Kalin(2)<Speaker>格琳</Speaker>;BOSS-7(0)||:诶？
NPC-Kalin(2)<Speaker></Speaker>;BOSS-7(0)||:……滴。
NPC-Kalin(2)<Speaker>格里芬人形A</Speaker>;BOSS-7(0)||:指挥官，我们的梯队遭到大量铁血突袭！已经无法和后方梯队接应了！
NPC-Kalin(4)<Speaker>格琳</Speaker>;BOSS-7(0)||:什么！？从哪里！
NPC-Kalin(4)<Speaker>格里芬人形B</Speaker>;BOSS-7(0)||:指挥官！我们被铁血单位包围！对方没有继续推进，但是现在——！
NPC-Kalin(4);BOSS-7(0)<Speaker>计量官</Speaker>||:那是代理人原本给我准备的增援梯队，我提前当作埋伏部署下来了而已。+格里芬的指挥官，你的后方大半部队已经被全副武装的铁血包围了，它们随时都能开火。+你的人形存亡全看我的意志……或者，你想舍弃她们独自逃掉？
NPC-Kalin(4)<Speaker>格琳</Speaker>;BOSS-7(0)||:…………+我们……不会随便舍弃掉任何人形的……+别以为我们打不过你，计量官！
NPC-Kalin(4);BOSS-7(0)<Speaker>计量官</Speaker>||:我不怀疑，但是你们的胜利会建立在多少人形的伤亡之上呢？
NPC-Kalin(4)<Speaker>格琳</Speaker>;BOSS-7(0)||:喂喂，等一下！这样太卑鄙了，不是你的风格吧！
NPC-Kalin(4);BOSS-7(0)<Speaker>计量官</Speaker>||:消灭视野中所有非铁血单位，这本来就是我这次的任务。+我只是给你们一个额外的机会罢了。
NPC-Kalin(3)<Speaker>格琳</Speaker>;BOSS-7(0)||:那你到底……想做什么？
NPC-Kalin(3);BOSS-7(0)<Speaker>计量官</Speaker>||:建筑师。
NPC-Kalin(2)<Speaker>格琳</Speaker>;BOSS-7(0)||:诶？
NPC-Kalin(2);BOSS-7(0)<Speaker>计量官</Speaker>||:建筑师还关在你们那里吧？+把它的下落告诉我，我确认之后就立刻解除包围。+如果你们有我的资料，你们就知道我不会说谎。
NPC-Kalin(3)<Speaker>格琳</Speaker>;BOSS-7(0)||:……指挥官？+……是啊，这根本做不到啊，只能试试看了。
NPC-Kalin(3)<Speaker>格琳</Speaker>;BOSS-7(0)||:计量官，建筑师现在被关在总部的秘密看守所里。+那可是格里芬的内部机密，我们这些前线人员是没法过问的。+当然啦，至少我们能保证她还活着就是——
NPC-Kalin(3);BOSS-7(0)<Speaker>计量官</Speaker>||:我说过，把建筑师的下落告诉我，这是释放人质的条件。+不管你用什么办法，立刻查出来！
NPC-Kalin(3)<Speaker>格琳</Speaker>;BOSS-7(0)||:可是……我们现在连自己的老板都联系不到，更别说一个囚犯了，所以——
NPC-Kalin(3);BOSS-7(0)<Speaker>计量官</Speaker>||:那么，第一批人质你们马上也联系不到。
NPC-Kalin(4)<Speaker>格琳</Speaker>;BOSS-7(0)||:请……请等等，让我们再——
NPC-Kalin(4);BOSS-7(0)<Speaker>计量官</Speaker>||<黑屏1>:这不是我想听的答案，动手——
NPC-Kalin(4)<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:……嗡——！+…………+……
NPC-Kalin(2)<Speaker>格琳</Speaker>||:诶？？+断电了？
NPC-Kalin(4)<Speaker>格琳</Speaker>||<黑屏1>:不对……是通讯被中断了……+到底发生了什么……+指挥官……大家……怎么样了……+我们……该怎么办……
