()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:<color=#00CCFF>【编号 2051-05-09】</color>+<color=#00CCFF>【数据读取中……开始播放】</color>
温柔的女声()<Speaker>温柔的女声</Speaker>||<BGM>BGM_Wake</BGM>:已经是这周第五次了……这才只是周二而已！损坏的频率也太高了！
冷静的男声()<Speaker>冷静的男声</Speaker>||:这是必要的。+这一仗已经僵持得太久了，上级要求我们尽快完成测试，让这一代强铳兵投入使用。+你也知道，■■■，只要它们能顺利进入实战，那些人根本没法和我们抗衡。
温柔的女声()<Speaker>温柔的女声</Speaker>||:我知道，但是这种高强度的测试和冲击，就算是人形也承受不住！我们难道不该另想办法，让AI来直接操纵强铳兵吗？
冷静的男声()<Speaker>冷静的男声</Speaker>||:相关的程序研发需要更久。
温柔的女声()<Speaker>温柔的女声</Speaker>||:我们应该减少无意义的损毁……
冷静的男声()<Speaker>冷静的男声</Speaker>||:如果能尽快结束战争，那么一切都是必要的。
温柔的女声()<Speaker>温柔的女声</Speaker>||:让我来代替小爱。
冷静的男声()<Speaker>冷静的男声</Speaker>||:我能理解你对59898的珍惜。她们的造价很高，也的确长得很可爱。+但是最后你才会是那架机甲的驾驶员，她只是给你铺路的东西。
温柔的女声()<Speaker>温柔的女声</Speaker>||:（啜泣声）
冷静的男声()<Speaker>冷静的男声</Speaker>||<黑屏1><SE1>AVG_door_storehouse</SE1>:（叹息）■■■，不要把她看得太重要了。+我们是人类，她们不过是能重复使用的道具。你比她们高贵得多，别自降身价。+我先走了。
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:【机体修复完成，正在重启。】+【重启完成。】
88typePilot(0)<Speaker>江城爱</Speaker>||<睁眼><BIN>70</BIN>:……
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:你醒了啊。+早安，小爱。
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||:【检测到持有者的情绪低落，执行安抚模式。】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:……哈哈，你总是这样。+从认识的时候开始，你每次想对我表达什么的时候都会这样拉住我的手。
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||:【正在提取历史记录核对。】+【核对完成，执行 点头确认。】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:果然。虽然你不会说话，但你一直在听我讲着……+从我来到基地到现在，和你相处的时间要比我和其他人相处的时间多得多呢。+他们所有人加起来，也没有你了解到的我的一半多。
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||:【判断持有者的意图】+【判断失败】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:如果战争结束之后，能把你也买下来一起带走就好了。+虽然我应该不用再去咖啡厅打工了，但我们有很多好玩的聚会，我想把你介绍给我的朋友们。+漫展啊，咖啡厅啊，或者别的什么地方……都想带你一起去。
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||:【检索自身信息。】+【持有者 ■■■】+【没有查询到其他持有者。】+【执行 点头确认。】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:小爱，我好喜欢你。
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<BGM>BGM_Empty</BGM>:【无法判断持有者的意图。】+【执行……】
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<SE2>Alarm</SE2>:【判定中断】+【接收到警告信号】+<color=#FF0000>【敌袭！敌袭！敌袭！！】</color>
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||<BGM>BGM_Battle</BGM>:是警报……怎么会，3303明明是后方基地……
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||<SE1>AVG_weapon_reload</SE1>:小爱，跟我来！准备战斗！
TestPilot(0)<Speaker>冷静的男声</Speaker>;88typePilot(0)||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>■■■，赶往C区域！</color>
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<黑屏1><SE2>Alarm</SE2>:【与操作系统同步完毕，即将挪转至C区域。】
TestPilot(0)<Speaker>■■■</Speaker>||<BIN>99</BIN><黑屏2><火花><SE1>Explode</SE1>:这群家伙……跑得真快！+长官，■■■已就位！
TestPilot(0)<Speaker>冷静的男声</Speaker>||<SE2>Gunfight</SE2>:<color=#00CCFF>收到，不惜一切代价，死守C区域！</color>
TestPilot(0)<Speaker>■■■</Speaker>||<SE1>Battlefield</SE1>:明白！+<Size=40>……加油啊，小爱。这是我们第一次实战，一场硬仗！</Size>
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<SE1>Select</SE1>:【检测到陌生目标靠近。】+【判定 敌意目标】+【执行 远距离打击】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||<SE1>Explode</SE1>:好，击中了！近距离的时候，切换大刀——小爱！
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<SE1>Battlefield</SE1>:【接收到持有者指令。更改攻击方案为近距离B种类。】+【切换武器 执行 斩击】+【检测到目标生命活动衰减】+<color=#FF0000>【警告 有爆炸风险】</color>+【执行 后退规避】
