()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………20分钟后，M16在工厂内连接终端。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:M16，门还没打开吗？+我说啊……实在不行，你就不能把你的手当炸药，把门炸开吗？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||<BGM>BGM_Room</BGM>:真是抱歉，我不是军用人形，身上没搭载你期望的那种高级零件。+不过有铁血的权限，解码应该不会浪费太多时间了。+呃……不知道为什么，我总觉得自己曾经在这里干过同样的事…………
M16(3);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:人形也会有“既视感”吗……有意思……+感谢我吧，你的运算效率，可比军用人形快多了……破解这种门，不是什么大问题。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:哈哈……下回……还是把我搞得再笨一点吧。+这样，我才能更加死心塌地去送死啊……
M16(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我制作了你，可不只是为了让你上战场。+对了，M16……我联系到RO和SOP2了。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:是吗……那还不错……+你继续说吧，我听着呢。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:她们身体状态很好，只是心智上……有些失落。
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:我知道，因为我离开了她们，还欺骗了她们。
M16(2);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:后者她们还不知道，RO醒着，她还在等你回来。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:（叹气）你可真会安慰人呀，我都搞不懂谁才是人形了……
M16(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:抱歉，M16……不过，你很喜欢RO吗？
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:她比M4更积极果断，更有行动力，更适合当一个队长。+虽然有点冲动，但没人会因此讨厌她。
M16(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:这个心智AI，我也很满意。+我不打算修改她了，AR小组每个人形，就维持这样吧。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:你真的不打算修改了？SOP2上回，可差点失控了呢。
M16(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:这也是……必要的一步。+你不会因此讨厌她吧？
()||:…………M16苦笑了一声。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:我只是放不下心而已呀……+毕竟之后……留给她犯错的机会就不多了……
M16(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:那么，有什么想留给她们的吗？
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:没了，我没什么要多说的了。+剩下的就交给M4了，我相信她……
()||:…………滴！
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||<黑屏1>:搞定了。+帕斯卡，我要进去了。
()||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:…………M16掰开了大门，小心翼翼地穿了过去。+……随后，倒吸了一口冷气。
帕斯卡()<Speaker>帕斯卡</Speaker>||:M16，你发现了什么。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:我不知道，大概是个培育所……+说真的，在这里面发现什么我都不会奇怪。
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>54</BIN><BGM>BGM_Boss</BGM>:现场被清理过，无法判断这里发生过什么……+不过……这里可能饲养过什么……+一个怪物？……我猜不会好到哪儿去的。
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:这不重要，M16。+找到那个信号源，一定有什么才对。
 ()||:…………M16俯身下去，搜索了培育所的角落。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:我找到了信号发射器……+但是，我还是看不出这个信号的标识……+不是铁血，也不是格里芬，我的云图里没有对应的情报。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:果然……有其他人来过，在蝴蝶事件之后。+检查一下那个发射器。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:很遗憾，我看了一下，只是个普通的发射器而已。+里面什么都没有，很难判断这玩意有什么用……
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:那就说明……这个房间，也许才是关键。
 ()||:…………帕斯卡稍稍思考了一下。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:M16，这个房间里，有监控装置？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:有，不过已经坏掉了。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:那么……会储存影像的东西，有可能有吗？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:稍等一下……+……找到了！角落里有台操作系统，下面有一个大型储存器。+操作系统虽然关闭了，但看指示灯的状态，似乎还是完好的。+如果有监控影像的话，估计会存在这里面……
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:里面……一定有那天的记录……+打开操作系统，看看能否进行入侵。
 ()||:…………M16扫去了灰尘，打开操作系统。+……系统中传来了电子警告声。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:不行，系统被铁血锁死了，我无法调查其中的内容。+而且安全等级太高了，我不推荐强行破解。+一旦过程出现失误，除了引来敌人，里面的文件还有被销毁的风险。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:果然啊……里面是用最高权限锁死的……+没办法了，M16……+看来，我们只能使用备用计划了……
 ()||:……M16拿出一根晶体管。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||<BGM>BGM_Empty</BGM>:就是这个吧？+再注射一次没问题吗？上一针已经让我觉得……很难控制住自己了。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Truth</BGM>:毕竟是【伞】病毒啊……虽然已经经过改良了。+你在资料库外注射的第一针里，只有最低剂量的纳米机器人。+它能给你带来有限的铁血权限，对你心智的改写速度也十分有限。+如果你在12小时内能回来的话，我还是有办法修复你的……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:还制定了这么为我着想的计划，我真该好好谢谢你……
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:那个病毒，是根据AR15的样本修改的。+虽然使用后，你会被铁血发现，但在指挥官的梯队保护下，你不会有太大危险。+但是，这第二针……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:哼……就没有之前的那么温和了吗？
