()||<BIN>34</BIN><黑屏2>10<黑屏2>:……
()||<BIN>34</BIN><BGM>BGM_Sneak</BGM>:……滴。+安洁利用通讯站的设备，与外界进行通讯。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:……是吗？+格里芬正在向S11区转移？我看到了，现在这里已经乱成一锅粥了。+……没错，我猜也是，军方一定利用这个借口，光明正大地进入战场维持秩序。+我知道，那只是军方的托辞，他们现在只是在外围重新部署而已……+一旦真正的主力部队完全介入战场，我们就没有任何阻止他们的机会了。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:是。我会尽力延缓他们的速度，但要是没有支援，没办法支撑太久。+诶……支援部队在外围待命解决不了任何问题……我想您知道他们想做什么……+我明白，我明白局长您的担忧，我会尽力为你们争取时间的。+不过一旦发生最坏的情况，我希望您能批准我之前制定的计划。+我明白，这过于激进，但如果……+是，是，我会等待批准。我会尽力不让局面变成那个样子。
()<Speaker></Speaker>||<BIN>34</BIN>:……通讯结束。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:现在，看来该使出全力了。+嗯……希望她们还活着吧……
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:…………滴。+……加密频道通讯中。
UMP45(0)<Speaker>UMP45</Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:你好。想我了吗？
UMP45(0);NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:………………
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:我想你的时候不会有好事的。+【档案】怎么样了？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:哼哼，那还用说吗？
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:如果已经搞定了，那应该快点回来吧。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:遇到了些麻烦呢。+你知道吗？我们碰巧赶上了格里芬的大撤退哦，所以稍稍帮下忙。
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:希尔已经告诉我了，你就是喜欢制造碰巧的事。+好吧，记录下你救下的人，我会帮你们索要报酬的，如果格里芬还存在的话。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:要是格里芬不付钱的话，那就麻烦从你的账户里扣吧。
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:前提是拥有唯一付账权限的我活过了这次任务。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:于是，想我的原因可以告诉我了吗？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:新的线索。+想办法移动到我标记的这个C集合点，对当地数据库进行扫描调查。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:哎呀，你看过战场地图吗？你是准备让我们去送死然后赖账？
NPC-Ange(0)<Speaker>安洁</Speaker>||<黑屏1>6</黑屏1><BIN>34</BIN>:报酬是有关蝴蝶事件的幕后元凶的爆料，我说得够明白了吧。
<Speaker>UMP45</Speaker>()||<BIN>61</BIN><黑屏2>6</黑屏2><黑屏1>5</黑屏1>:………
UMP45(0)<通讯框><Speaker>UMP45</Speaker>||<BIN>34</BIN><黑屏2>2</黑屏2>:…………+已经挖到这么深了吗？
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:这方面我可是专业的。+还有，把之前拿到的无人机【档案】传给希尔。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:不是直接交给帕斯卡小姐吗？
UMP45(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<黑屏1><BIN>34</BIN>:我会的，但是她只是个解读者。+毕竟……真正需要这个【档案】的，可不只她一个人呢。
