mail_content-10000001,测试邮件
mail_content-20000001,这是一封测试关卡解锁的邮件，解锁1-4后您会收到这封邮件，邮件持续至活动结束时间。
mail_content-10000002,测试邮件
mail_content-20000002,这是一封测试关卡解锁的邮件，解锁1-5后您会收到这封邮件，一键领取后邮件会消失，阅读后并不会。当然这个逻辑并不太正确，我们正在调整。
mail_content-10000003,测试邮件
mail_content-20000003,这是一封测试关卡解锁的邮件，解锁1-6后您会收到这封邮件，邮件将持续10天。
mail_content-10000101,一封陈旧的信件
mail_content-20000101,致我亲爱的杜莎妮：//n首先，我必须要和你道歉。那时我满心想着先去看望自己的家人，忘记了向这段时间一直陪在我身边的你，还有海伦娜告别。//n我总觉得你是不会离开我的，就算我找回了家人，你也始终会陪在我身边……等我再回来的时候，你已经不在这里了。这也许就是上天对我自大的惩罚吧。//n我知道也许你并不能收到这封信，但我仍旧写下了它，期望着有一天能送到你手中。//n要是哪天疗养院的工作做不下去了，我很欢迎你来到我家里。我现在住在安全的区域，绿草如茵，繁花盛放，鸟儿们在大树上啁啾。//n我的孙女儿也很乖巧，和你不像。我喜欢她，也喜欢你。我会一并爱着你和她，做一个祖母应该做的所有事。//n当然，你也许现在已经又在陪伴另一位可怜的老人了。你这样可爱而纯洁的姑娘，没有人会不喜欢你，向你打开自己的心扉。//n这是你的工作，我知道。你会像爱着我那样爱着另一个人，也会像拯救我那样，小心地把另一颗破碎的心捧在手中。这是你的天性。//n你拥有和你的双手一样柔软的心，它也许是受伤之后就必须重置才能修复的，又或者可以克服它，带着曾经的记忆和经验去往下一站。//n虽然你也许可以无数次返厂重修，但记忆是独一无二的。拥有记忆的你，是我生命里独一无二的家人。//n我爱你，并且会在残生的每一天都期待着你的回信。//n爱你的，艾什·吉姆斯。
mail_content-10000102,感谢信（努力写得工整的字迹）
mail_content-20000102,PP19姐姐，还有阿尔法姐姐，还有格里芬的大老板：//n我到家啦！妈妈说就算是人形也好，只要想感谢就要让那个人知道谢意，所以我要写信。//n谢谢阿尔法姐姐在牛群里救我，你真像是放牧的仙女。PP19姐姐也好帅，那个技巧叫什么呀？爸爸说是禽拿术，妈妈说是鸽斗术，到底应该叫什么呢？我长大要去学哪一种才能变得像你一样帅？//n还有格里芬的大老板，PP19姐姐告诉我你很好，很聪明，我以后也会变得像你一样酷，或者像阿尔法姐姐那样漂亮。谢谢你们，保护我爸爸和我回来！//n悄悄说，如果什么时候路过我们这里的话，可以来吃我家的烤饼哦。虽然妈妈很凶，但是烤饼真的超级，超级，超级香！！//n期待你们的回信！//n夏莉
mail_content-10000103,积分模式关卡“蝎涡危机”已解锁
mail_content-20000103,亲爱的指挥官//n//n在完成“镜像论”活动安洁视角第二幕“想象域”的关卡“谷粒声响II”后，您已解锁了积分模式关卡“蝎涡危机”。//n在积分模式关卡中，您可以在任何阶段通过“结束回合”来结束战斗，并获取相应的积分。//n本次活动中共有2个积分模式关卡，活动期间会将您在两个关卡的最高得分相加后进行排名，并在活动结束后发放排名奖励，包括指挥官头部服装“钢铁雄心”、活动妖精“应援妖精”等等。//n此外，本次活动还新增了累计积分奖励，活动期间，您在积分模式关卡中获得的所有积分累加到达指定分数即可领取包括活动妖精“应援妖精”、“WA2000专属装备”在内的奖励。//n//n祝您游戏愉快。
mail_content-10000104,积分模式关卡“驱雾行动”已解锁
mail_content-20000104,亲爱的指挥官//n//n在完成“镜像论”活动指挥官视角第三幕“象征域”的关卡“反逆莫伊莱II”后，您已解锁了积分模式关卡“驱雾行动”。//n在积分模式关卡中，您可以在任何阶段通过“结束回合”来结束战斗，并获取相应的积分。//n本次活动中共有2个积分模式关卡，活动期间会将您在两个关卡的最高得分相加后进行排名，并在活动结束后发放排名奖励，包括指挥官头部服装“钢铁雄心”、活动妖精“应援妖精”等等。//n此外，本次活动还新增了累计积分奖励，活动期间，您在积分模式关卡中获得的所有积分累加到达指定分数即可领取包括活动妖精“应援妖精”、“WA2000专属装备”在内的奖励。//n//n祝您游戏愉快。
