()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Bodyguard2(0)<Speaker>黑衣男子</Speaker>||<BIN>18</BIN><黑屏2>:上车吧，帕斯卡小姐。
NPC-Bodyguard2(0)<Speaker></Speaker>||<黑屏1>:在黑衣人的监视下，帕斯卡十分不情愿地坐上了哈维尔的加长轿车。
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Room</BGM>:车辆稳定地行驶在街道上。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:呃……胃好痛。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(3)||:你这一紧张就胃痉挛的毛病还没治好啊。不喜欢这辆车么？+放心吧，全身都是防弹的，底盘也是防爆特制型，绝对可以保证你的安全。
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:我已经很久没离开过实验室了……+相比袭击，我觉得更危险的是你啊。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(3)||:我？真让人伤心，帕斯卡，我那么尽心尽力地保证你的安全。+就算我不来找你，不会过多久安全局的情报官员就会来敲你的门。+相比我来说，我想他们的友善程度一定会让你大开眼界。
NPC-Havel(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker><Shake>||:唔……
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(1)||:趁着在车上，我们还可以轻松地闲聊一会儿。+来说说在研究院时的情况吧。+我想难得出门转换心情，你一定有很多快乐的回忆想和我分享吧？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:你想知道些什么？
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||:我记得你和莱柯年纪差别还挺大的，你们怎么会一起进行研究的？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:莱柯是少见的天才……他在神经控制和电子归算上的研究要比我出色不少。+人形心智的形成需要多科种的知识配合，他在我们加入90wish前就已经帮了我很多忙了。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||:的确，他开发的铁血人形的心智也不比我们IOP的产品差，真是可怕的对手呢。+所以，你们和那个露尼西亚是什么关系？
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:她只是所长的女儿而已。+有时候所长太忙了顾不上她，她会来我们的研究室待着，有的时候会跟我们聊天，说说她家人的事。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(3)||:家人的事？
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:她抱怨所长并不经常关心她和她的弟弟，还说她们很快就要搬离这座城市了。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(3)||:那个时候奥贝斯坦可是受到了很多的指责，他在遗迹署那边的名声也不是特别好。+在那种情况下大概是想把家人送走避避风头吧。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:虽然当时我并不知道所长发生了什么，但我猜应该也不会是什么好事。+那时候所长的脸色总是不怎么好，我还以为那个开发组很快就会被清算。+露尼西亚没多久就离开了研究院。在走之前，她和我们拍了这张照片，从那以后我就再也没有见过她……
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:原来是这样……那么露尼西亚和你制作的人形又有什么关系呢？
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:……
NPC-Havel(0);NPC-Persica(3)<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:帕斯卡握紧了双手。她看着车外不断朝后的大楼，又慢慢将目光转回车内的地毯上。
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:其实在进入IOP前，那个“威廉”联系过我们。
NPC-Havel(1)<Speaker>哈维尔</Speaker>;NPC-Persica(3)||:嗯？
NPC-Havel(1);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:那个时候我们已经知道露尼西亚已经得病去世了，我和莱柯都为她感到伤心。+但是突然某一天，那个“威廉”忽然来联系我们。+虽然我们都知道在90wish中有这个人的存在，但我们谁都没有见过他，而且那个人的说话方式惹人讨厌，在小组内也没什么好名声。+但是他的报告总是让人惊讶，我原本以为莱柯已经非常天才了，那个“威廉”的天才程度还在莱柯之上。
NPC-Havel(1)<Speaker>哈维尔</Speaker>;NPC-Persica(3)||<黑屏1>:能让你说出这种话，想必是见到了相当有力的证据吧。
()<Speaker>帕斯卡</Speaker>||<BIN>252</BIN><黑屏2>:他寄给了我们一个邮包，里面有一张基于脑部信息序列的数据块，那个数据块真的非常庞大，我和莱柯都惊呆了。+这是基于人类的脑部数字化算法得出来的数据，我们都无法想象他是怎么做到的。+在联络中，他希望我们基于这些数据制作心智，并且希望我们将数据还原成脑部结构切片。+我和莱柯查看后，解码出了露尼西亚和我们一起时的记忆，所以意识到了这个“威廉”想做什么。
()<Speaker>哈维尔</Speaker>||:将人类脑部的数据数字化？+那不是就和现在的那几个人形……
()<Speaker>帕斯卡</Speaker>||<黑屏1>:是的……虽然当时我没有去尝试，但最后我还是实现了这一步。
NPC-Havel(1)<Speaker>哈维尔</Speaker>||<BIN>166</BIN><黑屏2>:没想到AR小队是因为这样的原因才特殊……+不过如果是这样做，即使是用在人形身上，不也是变相地复活了露尼西亚？如此一来那个“威廉”是奥贝斯坦所长的可能性就变得很大了。
NPC-Havel(1);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:原本我们也是这么怀疑，但是所长对这块的研究一直都是严加禁止，从态度上也没看出有任何的变化。+而且如果真的是他，我想你早就已经查出“威廉”的身份了吧？
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(2)||:真是瞒不了你，我们早就已经调查了个底朝天了。+但的确那个所长没有半点嫌疑，不然他后面也不会升职去做科学技术部部长了。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我知道所长对这类研究反对的原因，这的确已经涉及了人类的伦理道德。+在我提出想去完成开发时，莱柯也是坚决反对的。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||:是么……我还以为开发出铁血的人才是最积极的那个呢。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:莱柯的性格其实非常内向保守，他不愿意接受的事不管怎么说服都不会奏效。+我对他再了解不过了，所以即使我想做那样的尝试他也不会答应，而当时的我是无法做到独立开发合格心智模块的。+所以我只能回绝了那个“威廉”，那个人当时非常地生气，他说对我们非常失望，还说会让我们付出代价。+不知道为什么，我竟然没有生气。+我想那个人一定非常重视露尼西亚，也许他把所有希望都寄托在我们身上，所以当希望消失时他才会那么愤怒。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||:后来“威廉”有再和你们联系过么？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:后来就再也没有了……至少直接的联系是这样。+直到57年格里芬被袭击的那几次事件发生的时候。
()<Speaker>哈维尔</Speaker>||<BIN>102</BIN><回忆><黑屏2><BGM>BGM_Room</BGM>:儿童袭击格里芬雇员的那个事件么？+似乎为了降低影响，事件的档案都已经被抹除了。
()<Speaker>帕斯卡</Speaker>||<黑屏1>:不过你应该看过原始档案吧。
()<Speaker>哈维尔</Speaker>||<BIN>103</BIN><黑屏2><黑屏1>:安洁给你的档案就是我这边收集来的。
()<Speaker>帕斯卡</Speaker>||<BIN>104</BIN><黑屏2><黑屏1>:果然是这样……+那你应该也知道，那些孩子的脑部数据和那个时候“威廉”发给我们的数据块几乎是一致的这件事吧？
()<Speaker>哈维尔</Speaker>||<BIN>105</BIN><黑屏2><黑屏1>:这我可是第一次听说。
()<Speaker>帕斯卡</Speaker>||<BIN>247</BIN><黑屏2>:当时莱柯已经离开了，我为了想证明自己比他更强，所以就使用了那些数据，也因此开发出了AR小队那些完全不同的人形。+虽然我有想过这可能是“威廉”想再次让我去复活露尼西亚的手段，但是当时的我没有去顾忌那么多……+我也没想过他们真的会对莱柯下手……
()<Speaker>哈维尔</Speaker>||:你觉得莱柯是故意被杀死的？
()<Speaker>帕斯卡</Speaker>||<黑屏1>:我也一直在追寻真相，但是“威廉”一直都怨恨我们，他要向莱柯报复也再正常不过了。+我想莱柯开发的伊莱莎也一定和“威廉”有关，说不定和露尼西亚也脱不开关系。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<关闭蒙版><BIN>166</BIN><黑屏2>:也就是说你和莱柯虽然拒绝了“威廉”，但在多年后还是不知不觉地替他完成了他想要你们做的事。+既然你们都被他摆布成了这样，我想你应该对这个人是谁心里有一些数了吧。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我私底下也调查过，的确发现了在研究所内曾经有一个被除名的研究人员，名字就是“威廉”。+但是这个人的信息除了我刚才说的那些外，就再也挖掘不到更多的内容了。
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||:所以你觉得就是这个人？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我觉得可能性已经非常大了，所以如果是你的话，应该可以查到，然后想办法把他抓起来吧？
NPC-Havel(0)<Speaker>哈维尔</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:很可惜，这个人我们也调查过。+但是他在好几年前就已经死了，甚至比露尼西亚死得还要更早。
NPC-Havel(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker>||<震屏>:什……么？
NPC-Havel(1)<Speaker>哈维尔</Speaker>;NPC-Persica(1)||:只是有人在假借这个“威廉”的身份在进行行动罢了。+而原本“威廉”的信息也被全部抹除了，仿佛这个人就从来不曾出现过一般。+这样的情报操纵能力，一定不是一个普通研究员可以做到的。
NPC-Havel(1);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Brain</BGM>:那……那个“威廉”到底是谁？
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<黑屏1>:我们总有一天会知道的，而且我想这天很快就会到来。
()<Speaker></Speaker>||<BIN>97</BIN><黑屏2>:车辆驶进了一座大厦中，哈维尔从车上下来，向周围的黑衣人摆了摆手。+几个强壮的保镖坐入汽车，带着帕斯卡朝大厦的更深处开去。+哈维尔叹了口气，看着巨大的落地玻璃窗外的景色。
NPC-Havel(1)<Speaker>哈维尔</Speaker>||:也是时候了。
NPC-Havel(1)<Speaker></Speaker>||:仿佛是为了响应这句话，他的手机突然响起。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||:…………+对，是我。+人已经确保安全了，我会使用最高的规格保护她的。+她该说的都已经说了，和我们的猜测基本也一致。+嗯，我已经知道了，安全局下达打击命令了。+接下来莫斯科会掀起腥风血雨，不过这也是那个老头愿意看到的。+你搭档的眼光很厉害，没想到光靠人形就真的可以挡住那些士兵。+这算是一笔划算的投资，不过其中的一半可是要由你来出。+是啊，差不多也该让我们的老朋友呼吸下新鲜空气了。+是的，都还在计划内，不过我要提一个额外的要求。+那个地方的研究资料，不能全部交给安全局。+嗯，嗯，遗迹署的人会很不开心的，我们得考虑未来的局势。+财阀的资金已经从那个衰败的国家流向欧洲了，我想他们接下来会有新的动作。+那些邪教现在还没空去处理，不过我会关注接下来资金流入的走向，不用担心。+是的，所以就看那个联盟会如何成立了。
NPC-Havel(0)<Speaker></Speaker>||<黑屏1>:听着对面的话语，哈维尔低声地笑起来。
哈维尔()<Speaker>哈维尔</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:真是让人期待啊。
