gift_item-10000001,马卡洛夫-南瓜熊熊
gift_item-20000001,可解锁人形换装
gift_item-30000001,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000002,Vector-猫猫肉垫
gift_item-20000002,可解锁人形换装
gift_item-30000002,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000003,MP5-暗夜使魔
gift_item-20000003,可解锁人形换装
gift_item-30000003,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000004,M45-糖果快递
gift_item-20000004,可解锁人形换装
gift_item-30000004,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000005,春田-古典派女巫
gift_item-20000005,可解锁人形换装
gift_item-30000005,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000006,WA2000-古堡历险
gift_item-20000006,可解锁人形换装
gift_item-30000006,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000007,M1919A4-卡蜜拉
gift_item-20000007,可解锁人形换装
gift_item-30000007,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000008,MK23-甜心小恶魔
gift_item-20000008,可解锁人形换装
gift_item-30000008,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000009,G11-僵尸家里蹲
gift_item-20000009,可解锁人形换装
gift_item-30000009,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000010,李-恩菲尔德-狩猎者礼服
gift_item-20000010,可解锁人形换装
gift_item-30000010,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000011,64式-异邦魔女
gift_item-20000011,可解锁人形换装
gift_item-30000011,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000101,微型乌兹-睡醒的笨蛋
gift_item-20000101,可解锁人形换装
gift_item-30000101,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000102,M1918-兔女郎
gift_item-20000102,可解锁人形换装
gift_item-30000102,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000103,MP-446-顽劣噪音
gift_item-20000103,可解锁人形换装
gift_item-30000103,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000104,64式-水襦裙
gift_item-20000104,可解锁人形换装
gift_item-30000104,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000105,灰熊MkⅤ-周末警卫
gift_item-20000105,可解锁人形换装
gift_item-30000105,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000106,M1919A4-派对甜心
