bingo_task-10000001,通常戦役に挑戦
bingo_task-20000001,任意の通常戦役を3回クリアする
bingo_task-10000002,夜戦戦役に挑戦
bingo_task-20000002,任意の夜戦戦役を1回クリアする
bingo_task-10000003,緊急戦役に挑戦
bingo_task-20000003,任意の緊急戦役を2回クリアする
bingo_task-10000004,人形救助
bingo_task-20000004,任意のステージ或いは戦闘で累計5体の人形を救助する
bingo_task-10000005,人形強化
bingo_task-20000005,人形強化を5回行う
bingo_task-10000006,装備強化
bingo_task-20000006,装備強化を5回行う
bingo_task-10000007,人形製造契約を消費
bingo_task-20000007,人形製造契約を累計4枚消費する
bingo_task-10000008,装備製造契約を消費
bingo_task-20000008,装備製造契約を累計4枚消費する
bingo_task-10000009,快速製造契約を消費
bingo_task-20000009,快速製造契約を累計4枚消費する
bingo_task-10000010,快速修復契約を消費
bingo_task-20000010,快速修復契約を累計4枚消費する
bingo_task-10000011,人力消費
bingo_task-20000011,人力を累計1500消費する（自律作戦を除く）
bingo_task-10000012,弾薬消費
bingo_task-20000012,弾薬を累計1500消費する（自律作戦を除く）
bingo_task-10000013,配給消費
bingo_task-20000013,配給を累計1500消費する（自律作戦を除く）
bingo_task-10000014,パーツ消費
bingo_task-20000014,パーツを累計500消費する（自律作戦を除く）
bingo_task-10000015,戦友のバッテリー入手
bingo_task-20000015,戦友からバッテリーを累計10回入手する
bingo_task-10000016,ハート収集
bingo_task-20000016,ハートを累計10個集める（戦術人形とカリーナを含む）
bingo_task-10000017,HG戦術人形入手
bingo_task-20000017,任意のハンドガンタイプの戦術人形を3体入手する
bingo_task-10000018,SMG戦術人形入手
bingo_task-20000018,任意のサブマシンガンタイプの戦術人形を3体入手する
bingo_task-10000019,AR戦術人形入手
bingo_task-20000019,任意のアサルトライフルタイプの戦術人形を3体入手する
bingo_task-10000020,MG戦術人形入手
bingo_task-20000020,任意のマシンガンタイプの戦術人形を3体入手する
bingo_task-10000021,RF戦術人形入手
bingo_task-20000021,任意のライフルタイプの戦術人形を3体入手する
bingo_task-10000022,アタッチメント装備
bingo_task-20000022,任意のアタッチメント装備を3点入手する
bingo_task-10000023,弾倉装備
bingo_task-20000023,任意の弾倉装備を3点入手する
bingo_task-10000024,人形装備
bingo_task-20000024,任意の人形装備を3点入手する
bingo_task-10000025,支援成果-快速製造契約
bingo_task-20000025,後方支援を通じて快速製造契約1枚を入手する
bingo_task-10000026,支援成果-快速修復契約
bingo_task-20000026,後方支援を通じて快速修復契約1枚を入手する
bingo_task-10000027,支援成果-装備製造契約
bingo_task-20000027,後方支援を通じて装備製造契約1枚を入手する
bingo_task-10000028,支援成果-人形製造契約
bingo_task-20000028,後方支援を通じて人形製造契約1枚を入手する
bingo_task-10000029,BOSS撃破
bingo_task-20000029,戦闘勝利時において、ボス5体を撃退する
bingo_task-10000030,装甲機械鉄血兵
bingo_task-20000030,戦闘勝利時において、装甲機械鉄血兵10体を撃退する
bingo_task-10000031,ノーマル機械鉄血兵
bingo_task-20000031,戦闘勝利時において、ノーマル機械鉄血兵20体を撃退する
bingo_task-10000032,ノーマル人形鉄血兵
bingo_task-20000032,戦闘勝利時において、ノーマル人形鉄血兵30体を撃退する
bingo_task-10000033,累計後方支援時間
bingo_task-20000033,後方支援を累計12時間完了する
bingo_task-10000034,模擬作戦
bingo_task-20000034,模擬作戦を累計2回行う
bingo_task-10000035,スキル訓練
bingo_task-20000035,人形のスキル訓練を1回行う
bingo_task-10000036,戦闘マスター
bingo_task-20000036,戦闘でS評価を10回獲得する
bingo_task-10000037,自律作戦
bingo_task-20000037,任意のステージで自律作戦を1回完了する
bingo_task-10000038,「いいね」の使者
bingo_task-20000038,宿舎で累計20回「いいね」を行う
bingo_task-10000039,ランダム訪問
bingo_task-20000039,ランダム訪問を累計10回行う
bingo_task-10000040,ギフトプレゼント
bingo_task-20000040,ギフトを累計10個プレゼントする
bingo_task-10000041,バッテリー消費
bingo_task-20000041,バッテリーを累計100消費する
bingo_task-10000042,戦友の支援部隊使用
bingo_task-20000042,戦友の支援部隊を累計3回使用する
bingo_task-10000043,較正チケット消費
bingo_task-20000043,較正チケットを累計30枚消費する
