weekly-10000001,Weekly Achievement: Bloodthirsty Pursuer
weekly-20000001,Destroy 100 regular units in victorious battles.
weekly-10000002,Weekly Achievement: Victorious Defender
weekly-20000002,Destroy 200 regular units in victorious battles.
weekly-10000003,Weekly Achievement: Ace Hunter
weekly-20000003,Kill 10 Bosses in victorious battles.
weekly-10000004,Weekly Achievement: Ace Support
weekly-20000004,Complete 50 Logistics Supports.
weekly-10000005,Weekly Achievement: Battle Master
weekly-20000005,Clear 100 battles with an S rank.
weekly-10000006,Weekly Achievement: Expert Modder
weekly-20000006,Perform 20 T-Doll Enchancements.
weekly-10000007,Weekly Achievement: Doll Race
weekly-20000007,Produce 20 T-Dolls.
weekly-10000008,Weekly Achievement: Instructor from Hell
weekly-20000008,Complete Skill Training 5 times (T-Dolls/Fairies/HOC/Coalition Units).
weekly-10000009,Weekly Achievement: Electronic Warrior
weekly-20000009,Complete 20 Battle Simulations (Coalition Drills do not count).
weekly-10000010,Weekly Achievement: Armed Front
weekly-20000010,Produce 20 pieces of Equipment.
weekly-10000011,Weekly Achievement: Armor Piercer
weekly-20000011,Destroy 100 armored units in victorious battles.
weekly-10000012,Weekly Achievement: Armor Killer
weekly-20000012,Destroy 200 armored units in victorious battles.
weekly-10000013,Weekly Achievement: Heavy Armament Expansion
weekly-20000013,Perform Heavy T-Doll Production once.
weekly-10000014,Weekly Achievement: Equipment Reformation
weekly-20000014,Calibrate Equipment 5 times.
weekly-10000015,Weekly Achievement: Equipment Enhancement
weekly-20000015,Perform 20 Equipment Enhancements.
weekly-10000016,Weekly Achievement: Automated Attempt
weekly-20000016,Perform Heavy Equipment Production 3 times.
weekly-10000017,Weekly Achievement: Support Expert
weekly-20000017,Perform 1 Fairy Enhancement.
weekly-10000018,Weekly Achievement: Data Actuary
weekly-20000018,Complete Intelligence Analysis 20 times.
weekly-10000019,Weekly Achievement: Chip Tinkerer
weekly-20000019,Spend 20 Chips on Enhancement.
weekly-10000020,Weekly Achievement: Data Analyst
weekly-20000020,Complete 10 Intelligence Quests.
weekly-10000021,Weekly Achievement: Chip Collector
weekly-20000021,Disassemble 50 T-Dolls.
weekly-10000022,Weekly Achievement: Little Explorer
weekly-20000022,Conduct Forward Basecamp Exploration 3 times.
