()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Sneak</BGM>:……塔林市郊。
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>指挥官，刚才两个小时，塔林市内的不明信号在不断尝试和M4连接，除此之外，没有发现异状。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>其他格里芬梯队的人形也没有遭到电子攻击，我们会继续提供防壁支持。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>那么，定期联络结束，我们也要跟上她们的脚步一起前往塔林市了。</color>
指挥官()||:这样吗……我知道了，继续保持联系。
()<Speaker>指挥官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:嗯？
NPC-Kalin(0)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:指挥官，你方便吗？
NPC-Kalin(0)<Speaker>指挥官</Speaker><通讯框>||:我这边没问题，是先遣小队的通讯吗？那是最优先级别，如果有的话，不必请示可以立刻帮我接过来。
NPC-Kalin(3)<Speaker>格琳娜</Speaker><通讯框>||:不，是来自16Lab的……帕斯卡小姐。
NPC-Kalin(3)<Speaker>指挥官</Speaker><通讯框>||:（来了吗……就跟哈维尔预言的一样。）+……帮我接上吧。
()||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:……滴。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||<BGM>BGM_Room</BGM>:<color=#00CCFF>啊……指挥官……好久不见。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>那个……唔……明明有很多想说的，但是到了这种关头，反而……</color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:好几个月没有与你联络了，很高兴接到你来电。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>……天啊，才几个月吗？明明不到一年，感觉却像是过了很久了。</color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:是的，我想这几个月……对我们彼此来说，都是一段难熬的时期。
