()||<BIN>22</BIN><BGM>BGM_Room</BGM>:…………
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:你这边还是乱得和狗窝一样啊。+换成别的投资人要是看到你的实验室这个样子，一定会心痛自己的钱白花了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:但我的投资人是你，你会感谢我把钱都花在刀刃上了。+你怎么过了这么久才来？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:我还真看不出来你没白花我的钱。+而且你要知道想甩掉那些监视我的人可是很花功夫的。+此刻的另一边应该打得不可开交了吧。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:安洁现在需要更多线索和证据，而我也想知道关于莱柯的……真相。
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:你们已经知道了哪些东西？
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我看到了莱柯是怎么死的……伊莱莎启动的时候莱柯他已经死了…………+他是被我们自己的人形射杀的，而他准备销毁的文档里有“欧伽斯系统内置重启报告”的字样。+哈维尔先生，欧伽斯系统重启的目的究竟是什么？你跟卡特在2032年到底做了什么？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:哼，格里芬和第六局都被愚弄了，卡特是很个聪明的人，他能从低级军官当上将军不是一个偶然。+……关于三十多年前的事情，我只能告诉你，当时我们共事是为了解除叛军想引爆在明斯克附近的机密设施的威胁。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:机密设施？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:OKB-413。这是那个遗迹该死的编号。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:遗迹……
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:卡特负责拿下目标，而我带领工程师负责拆除。+那个设施是为了测试和调整“梭鱼”而特意建设在遗迹之上的。+其本身使用了欧伽斯的一个单位节点来运算。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我记得欧咖斯……+是前苏联在80年代推广的全国自动化系统所用先锋级网络结构……
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:没错，但是原型设计恐怕更早，设备和系统方案都是从遗迹中挖掘出来的。+虽然这只是我的想法，但凭那玩意的先进程度，我推断那是用来维持遗迹中的生命而设计的某种自动控制系统。
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:在执行任务时，叛军为了引发更大的破坏，甚至对“梭鱼”系统进行了过载启动。+虽然整个系统只启动了一瞬间……那还不如说是点火吧……+但是…………
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:但是……？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:遗迹伴随著点火传来了高能量信号，要不是我在现场，光看检测仪器一定会认为整个遗迹已经爆炸了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:遗迹……被激活了？
NPC-Persica(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:仅仅是一瞬间，卡特带领的突击部队攻进了控制室……+关闭“梭鱼”后紧接着我们就把所有的管线都拆除，那个区域的欧伽斯系统就这么完蛋了。+就不过就是这一瞬间，想必卡特他们是永远不会忘记的。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:所以说，军方的目的是……
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:是什么想必你已经猜到了吧，安洁。
NPC-Havel(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:………
NPC-Ange(0)<Speaker>安洁</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:你怎么知道我在这里？
NPC-Ange(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:我一进门，帕斯卡就把和你的保密频道打开了，这点小伎俩在我面前是一点都不好使的。
NPC-Ange(0)<Speaker>安洁</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:啧……老狐狸，照你这么说，比我预想的情况要更糟糕。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<BIN>22</BIN>:是的，所以我才会到这里来。+对军队来说，三战是被强行停止的，而现在政府又想和原本的敌人组成什么联合政府，这对那些还活在三战的军人来说无异于背叛。+所以启动遗迹要挟全世界回到冷战秩序就是他们的政治目的了。+你还记得“确保相互毁灭”是什么意思吗？哼，真是肮脏。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:但这又和莱柯有什么关系呢？为什么非要杀他不可！？
