()||<BIN>34</BIN><BGM>BGM_Sneak</BGM>:…………20分钟后。
RO635(0)<Speaker>RO635</Speaker>||:……帕斯卡小姐？+帕斯卡小姐，你还在吗？
RO635(5)<Speaker>RO635</Speaker>||:呼叫，帕斯卡小姐！
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>;RO635(5)||:啊，来了来了！
NPC-Persica(3);RO635(3)<Speaker>RO635</Speaker>||:（叹气）行动时间有限，希望您不要擅自离开频道。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;RO635(3)||:没什么，只是接了杯咖啡而已。
NPC-Persica(3);RO635(3)<Speaker>RO635</Speaker>||:您今晚已经喝了太多咖啡了，这是十分不利于人类的肉体健康的。+而且，我好像听到您刚才小声说了些什么……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;RO635(3)||:啊……刚好有封语音邮件而已，不用在意，不用在意。
NPC-Persica(3);RO635(3)<Speaker>RO635</Speaker>||:（叹气）这次作战意义重大，作为总负责人，您的注意力需要再集中一点。
NPC-Persica(3);RO635(0)<Speaker>RO635</Speaker>||:帕斯卡小姐，指挥官，我需要报告新的进度。+我已经准确定位到了存放7号档案的资料库……
NPC-Persica(2)<Speaker>帕斯卡</Speaker>;RO635(0)||:啊，是吗？那太好了。
NPC-Persica(2);RO635(0)<Speaker>RO635</Speaker>||:抱歉，请您安静，帕斯卡小姐。+我们现在就要前往目标地点，但是沿路上有很多铁血的哨站。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;RO635(0)||:也就是说……需要指挥官，去护送你们？
NPC-Persica(0);RO635(0)<Speaker>RO635</Speaker>||:不，我希望指挥官的梯队去吸引它们的注意力，我们用更加隐蔽的路线前往目标地点。+具体的行动路线，我需要和M16商议……
RO635(3)<Speaker>RO635</Speaker>||:……虽然她刚刚也离开了，不知道去了哪里。
M16(0)<Speaker>M16A1</Speaker>||:哦？我错过了什么吗？+我刚刚去楼上和SOP2换岗。
RO635(3)<Speaker>RO635</Speaker>||:啊，没事，下次先和我打个招呼吧……
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:指挥官，我在地图上标记了一个指挥据点，只要占领目标，就可以吸引大部分敌人。+我们会在您作战成功后继续行进，抵达目标资料库。+反干扰系统现在十分稳定，您可以开始行动了。
