()||<BIN>3</BIN><BGM>BGM_Battle</BGM><SE1>Battlefield</SE1>:……戦場の一角にて。
M4A1(0)<Speaker>M4A1</Speaker>||:どうしたの？エクスキューショナー。//n予想外の事態でも起きた？
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>;M4A1(0)||:チッ、なぜだ……+グリフィンの人形が本部の命令なしに、オレの司令部を奇襲できるわけが……
BOSS-2(0);M4A1(0)<Speaker>M4A1</Speaker>||:あちらにはグリフィンの部隊を自由に動かせられる、人間の指揮官がいるからね。
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>;M4A1(0)||:……なるほど。//nずっとこの時を待ってたというわけか？
BOSS-2(0);M4A1(0)<Speaker>M4A1</Speaker>||<SE1>Battlefield</SE1>:賭けだったけどね。+彼女らを信じる以外、私に道はなかったから。+それで、あなたの始末はどうしようか。
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>;M4A1(0)||:始末？これで終わりだとでも思ってるのか？+たとえお前がグリフィンの部隊に紛れ込もうと、こっちには別の方法があるんだぜ。
BOSS-2(0);M4A1(3)<Speaker>M4A1</Speaker>||:なんだって？
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>;M4A1(3)||:忘れてないよな。//nお前の仲間が三人ほど、まだ戦場に取り残されてることを……+分かってんだろ。あいつらを人質として使うんだよ……
BOSS-2(0);M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1>:……
()||<BIN>9</BIN><黑屏2><SE1>Gunfight</SE1>:……M4A1は引き金を引いた。
M4A1()<Speaker>M4A1</Speaker>||:仲間の話をしたのは失策だったわね、//n鉄血のクズが。
刽子手()<Speaker>エクスキューショナー</Speaker>||<黑屏1>:フン……どうでもいいさ……+知ってるだろ。//nオレたちは……そう簡単には……消滅しないって……
()||:…………5分後。+人形部隊が救援に到着した。
M4A1()<Speaker>M4A1</Speaker>||<黑屏2><BIN>25</BIN><黑屏1>:……+あなたが……指揮官ですか？+ペルシカさんが言っていた……例の指揮官？+すみません……自己紹介させてください。+私の型式番号はM4A1。その名で呼んでもらって大丈夫です。+私はグリフィンの人形でAR特殊小隊に所属していますが、事情があって今は鉄血に追われているのです。+ペルシカさんからは、戦術指揮官が救援に来てくれると聞いていました。+合言葉は……えーと……+んー……「角砂糖」？+そう、それです。救出してくださりありがとうございました。+今、私がここにいて願うことは、ただ一つだけです……
()||<黑屏2><BIN>9</BIN><黑屏1>:……助けてください。
