()||<BIN>34</BIN><黑屏2>10<黑屏2>:……
()||<BIN>34</BIN><BGM>BGM_Sneak</BGM>:……ピー。+アンジェは通信ステーションの設備を使い、外部と通信を行った。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:……本当ですか？+グリフィンが今S11地区へ向かおうとしている？//nええ、見えています、こちらの状況もかなり混沌としています。+……はい、私もそう思います。秩序の維持を理由に軍は堂々と戦場に乗り込んでくるでしょう。+もちろんそれがただの建前だというのは承知です。//n今はまだ周囲で部隊の再配置を行っているだけのようですが……+もし主力部隊の介入を許してしまえば、我々は彼らを止めることが出来なくなるでしょう。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:ええ、出来うる限りの足止めはしますが、支援なしじゃ長くはもちません。+……支援部隊を周辺区域に待機させているだけではなんの解決にもなりません……局長もやつらの狙いについてはご存じのはずです……+もちろん、局長が心配していることも承知です。時間はできるだけ稼ぎます。+ただ、もし最悪の事態に陥ったときは、//n私が以前立てた計画の実行を許可していただきたいです。+ええ、極端なモノであることは理解しています。しかし、もし……+はい、許可を待ちます。なるべく、そうならないよう努めます。
()<Speaker></Speaker>||<BIN>34</BIN>:……通信終了。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:さて、どうやら全力を尽くすときが来たようね。+うん……彼女たちが無事であることを願うわ……
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:…………ピー。+……暗号化チャンネル通信中。
UMP45(0)<Speaker>UMP45</Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:やっほー。会いたくなった？
UMP45(0);NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:………………
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:あなたに会いたい時は、決まって面倒事が起きた時よ。+【ファイル】はどうなってる？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:フフン、言うまでもないでしょ？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:片付いたのなら、早く戻ってきて。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:それがちょっと、面倒なことが起きてね。+なんと偶然にもグリフィンの大撤退に出くわしちゃってさ、今はそのお手伝いをしているの。
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:シーアから聞いてるわ。相変わらず偶然を装うのが好きなようね。+分かったわ。ただ助けた人は記録しておいてね、報酬を請求しておくから。//nもっとも、グリフィンがまだ残っていればの話だけど。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:グリフィンが払えないときは、あなたの口座からよろしくね。
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:唯一支払える権限を持っている私が生きていればね。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:それで、私に会いたくなった訳を教えてくれるかしら？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:新しい手がかりよ。+私の示したこのCポイントに移動して、そこにあるデータベースをスキャン調査して。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:ちょっと、マップはちゃんと確認したの？//n私たちを死にに行かせて、借金を踏み倒す気？
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<黑屏1>6</黑屏1><BIN>34</BIN>:報酬は胡蝶事件の黒幕に関する情報よ、これで満足？
<Speaker>UMP45</Speaker>()||<BIN>61</BIN><黑屏2>6</黑屏2><黑屏1>5</黑屏1>:………
UMP45(0)<通讯框><Speaker>UMP45</Speaker>||<BIN>34</BIN><黑屏2>2</黑屏2>:…………+もうそんなところまで辿り着いたの？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:そういうのに関してはプロだから、私。+それから、以前ドローンから手に入れた【ファイル】をシーアへ転送してもらえる？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:直接ペルシカさんに渡さないの？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<黑屏1><BIN>34</BIN>:そのうちね、ただ彼女はあくまでも解読者よ。+なにしろ……この【ファイル】を必要としているのは、彼女一人だけじゃないからね。
