mission_targettrain-10170101,定制标靶
mission_targettrain-20170101,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170102,定制标靶
mission_targettrain-20170102,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170103,定制标靶
mission_targettrain-20170103,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170104,定制标靶
mission_targettrain-20170104,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170105,定制标靶
mission_targettrain-20170105,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170201,演习标靶
mission_targettrain-20170201,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170202,演习标靶
mission_targettrain-20170202,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170203,演习标靶
mission_targettrain-20170203,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170204,演习标靶
mission_targettrain-20170204,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170205,演习标靶
mission_targettrain-20170205,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】
mission_targettrain-10170301,末日魔犬
mission_targettrain-20170301,特殊标靶-末日魔犬，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10170401,叶戈尔
mission_targettrain-20170401,特殊标靶-叶戈尔，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10170501,失格异构体
mission_targettrain-20170501,特殊标靶-失格异构体，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10170601,M16A1!
mission_targettrain-20170601,特殊标靶-M16A1！，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10170701,断后中队
mission_targettrain-20170701,特殊标靶-断后中队，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10170801,01：乱数雷霆
mission_targettrain-20170801,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10170901,02：乱数蝎甲
mission_targettrain-20170901,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171001,03：乱数毁灭
mission_targettrain-20171001,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171101,04：乱数切割
mission_targettrain-20171101,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171201,05：乱数磐钢
mission_targettrain-20171201,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171301,06：乱数吞噬
mission_targettrain-20171301,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171401,收藏标靶
mission_targettrain-20171401,玩家可以在战斗地图中，将敌对目标收藏为标靶目标，进行反复的练习，方便指挥官们更深刻的理解战斗。
mission_targettrain-10171501,必中谎言
mission_targettrain-20171501,【靶机专训】通过【梦间剧】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171601,01：燃烧狂兽
mission_targettrain-20171601,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171701,02：不倒铁律
mission_targettrain-20171701,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171801,03：蜂鸟旋涡
mission_targettrain-20171801,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10171901,04：庞然战车
mission_targettrain-20171901,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172001,01：歧路信标
