fetter_story-10000101,素朴の魔女
fetter_story-20000101,「瑠璃も玻璃も照らせば光る。」
fetter_story-10000102,追撃の幽霊
fetter_story-20000102,「幽霊は皆影に隠れるばかりではない。」
fetter_story-10000103,決められたプラン
fetter_story-20000103,「計画通りに進めば、少なくとも失敗の理由を知ることができる。」
fetter_story-10000104,美味なるノイズ
fetter_story-20000104,「人知れずにやりたければ……」
fetter_story-10000105,失敗の始まり
fetter_story-20000105,「人生は成功と失敗の組み合わせだ。」
fetter_story-10000106,かけがえのある手助け
fetter_story-20000106,「いいよ、なんでもいい、金さえくれればね。」
fetter_story-10000107,翼を振る雛鳥
fetter_story-20000107,「努力は、後悔をしないためにするもの。」
fetter_story-10000108,かけがえのない真心
fetter_story-20000108,「記憶だけは、人形も人間も同じ。」
fetter_story-10000109,魔女の夜
fetter_story-20000109,「聴いてみて、この夜空に流れる音楽を……」
fetter_story-10000110,輝かしい将来
fetter_story-20000110,「学費ってことにしておいて――この前も言ったでしょ。」
fetter_story-10000111,夢の間奏
fetter_story-20000111,美しいものには、ふさわしい名前を付けてあげよう。
fetter_story-10000201,ディーラー
fetter_story-20000201,「リー・エンフィールドが一日の任務を終え、安心するいつものところへ戻ったら、まさかあんな予想外のことが……」
fetter_story-10000202,プレイヤー
fetter_story-20000202,「リー・エンフィールドもまさか自分がこんな団体に入ることになるとは思わなかった。しかも、この団体には自分よりも予想外なやつが……」
fetter_story-10000203,ベット
fetter_story-20000203,「何事も聞くより実際にやるほうが難しい……リーもそれを分かっているが、負けたくはない。」
fetter_story-10000204,コール
fetter_story-20000204,「この世界は実に奇妙だ。特に自分が一枚上手だと勘違いしている時は。」
fetter_story-10000205,倍率
fetter_story-20000205,「潔く失敗を受け入れ、教訓を汲み取り、次の成功のために準備をする――きれいごとなら誰でも言えるが、失敗するのはきっと彼女ではない。」
fetter_story-10000206,ディール
fetter_story-20000206,「役者は揃った。ショーの始まりだ。」
fetter_story-10000207,幸運の女神
fetter_story-20000207,「この世界に勝てないものなどない。それを信じてきたからこそ、私は勝ち続けて来れた。」
fetter_story-10000208,ブラインド
fetter_story-20000208,「獅子は兎を捕らえるにも全力を尽くす、だが狡兔の巣穴が一つであるとは限らない。」
fetter_story-10000209,1 on 1
fetter_story-20000209,「深淵をのぞく時、深淵もまたこちらをのぞいているのだ。」
fetter_story-10000210,ショーダウン
fetter_story-20000210,「日常は物語ではない。或いは、日常という名の物語において、主人公は全員だ。」
fetter_story-10000301,オリオン座
fetter_story-20000301,ドゥベーの光が未だかつてないほどはっきりと見える。//nこういう時は、毎回自分が天体観測に特化した人形ではないことに後悔する。//n星々の光には、きっと何かのメッセージが隠されていると、私は信じている。//nそしてきっと、私たちを今ある苦境から救い出してくれる。
fetter_story-10000302,鏡面反射
fetter_story-20000302,一面に広がる荒野の中、我々は未だにオリオン座を観測できる位置を見つけていない。//n今、この荒野を照らしているのは鉄色の星屑。微かだけど、この色褪せた光が、周囲を彩っている。//nそして、彼女たちはこの光に惹かれ、物語もまた誰しも予想できない方向へと進む。
fetter_story-10000303,三ツ星のベルト
fetter_story-20000303,果てしない帰路の中、星座は未だに皆を導いている。//nしかし、PzB39はなぜか足を止めた……
fetter_story-10000304,躊躇
fetter_story-20000304,PzB39には何か躊躇いがあるみたいだ。それを知ったM590はこっそりと心を決めた……
fetter_story-10000305,微重力
fetter_story-20000305,落下している時の感覚は、まるで無重力状態のようだ。//nこれはバイクに乗り、風の中を切り進んでいく時の感覚とは、全くの別物だ。//n今にできることは、ただ手の中のものを握りしめるだけ。
fetter_story-10000306,直感
fetter_story-20000306,PzB3とM590がすでにサバイバルの可能性を模索し始めた時、グリズリーはまだ彼女たちを探すことを諦めていない。
fetter_story-10000307,星読み
fetter_story-20000307,グリズリーは直感に従って動くことにした。一方、PzB3とM590は万策尽きているようだ。
fetter_story-10000308,明けの明星
fetter_story-20000308,色々と面倒な状況を解決したが、小隊はまた方向を見失った……
fetter_story-10000309,地球外文明
fetter_story-20000309,果てしない「航海」の中、最終命題への解を見つけた。
fetter_story-10000310,冒険家
fetter_story-20000310,賑やかな雰囲気に包まれたグリフィン司令部はまるでお祭りの最中のようだ。//n人形たちはコースの隣に群がって、バイクのエンジンは絶えずに鳴り響く。
