()||<BIN>2</BIN><BGM>BGM_Empty</BGM><Night><SE1>Battlefield</SE1>:……战斗进入尾声。
HunterElite(0)<Speaker>猎手</Speaker>||:我已经……无法行动了……+衔尾蛇……说好的增援呢！哨站马上要守不住了！
Weaver(0)<Speaker>衔尾蛇</Speaker><通讯框>;HunterElite(0)||:就连你都知道，猎手，她们的目标是你。+想保护好干扰器，最简单的办法就不言而喻了。
Weaver(0);HunterElite(0)<Speaker>猎手</Speaker>||<BGM>BGM_Boss</BGM>:衔尾蛇……+你……从一开始就知道了吗，从一开始你就打算抛弃我吗！
Weaver(0)<Speaker>衔尾蛇</Speaker>;HunterElite(0)||:猎手，你知道我是怎样诞生的吗？+与上千个AI对手在电子棋局中反复较量，并作为唯一的幸存者活到最后。+在我看来，你此刻作为棋子的价值，就是被抛弃。
Weaver(0);HunterElite(0)<Speaker>猎手</Speaker>||:战争不是下棋，你忽略了太多问题，衔尾蛇！你很快就会后悔的！
Weaver(0)<Speaker>衔尾蛇</Speaker>;HunterElite(0)||<黑屏1>:我恰恰是考虑到了所有的问题，从而得到我最想要的结果。+……只是这个结果，你们恐怕并不想看到。
衔尾蛇()<Speaker>衔尾蛇</Speaker>||<BIN>9</BIN><黑屏2>:2612-1192a2516-31913，执行格式化命令。
()||:正在重启主机，正在进行心智备份，无法连接网络，心智备份无法完成，正在转向本存取，格式化完成。
衔尾蛇()<Speaker>衔尾蛇</Speaker>||:就这样沉睡下去吧，猎手，我已经不需要你了。
()||<BGM>BGM_NightOPS</BGM>:……10分钟后。+404小队抵达猎手所在坐标，开始检查情况。
HK416(0)<Speaker>HK416</Speaker>||<黑屏2><BIN>2</BIN><Night>:唤醒失败，猎手没有任何反应。
UMP9(2)<Speaker>UMP9</Speaker>||:都怪你啦G11，人命关天的大事，为什么不打腿呢。
G11(0)<Speaker>G11</Speaker>||:怪我喽，开枪的又不是你们……
UMP45(2)<Speaker>UMP45</Speaker>||:不是G11的错，一定是对方头目把它灭口了。
UMP9(4)<Speaker>UMP9</Speaker>;UMP45(2)||:该死，好不容易解决掉猎手，结果什么情报都没拿到！
UMP9(4);G11(2)<Speaker>G11</Speaker>||:白跑一趟了，要回家吗？
HK416(0)<Speaker>HK416</Speaker>;G11(2)||<SE1>Battlefield</SE1>:随便去哪，尽快离开这里……+听，新的敌军已经找上我们了。
HK416(0);UMP45(2)<Speaker>UMP45</Speaker>||:也许……找的不一定是我们呢？
HK416(0)<Speaker>HK416</Speaker>;UMP45(2)||:诶？你说什么？
HK416(0);UMP45(2)<Speaker>UMP45</Speaker>||<黑屏1>:我先离开一下，HK416，带大家躲开围剿队，到哨站对面集合。+没准……事情还有转机。
