furniture_establish-10010001,救護室壁紙
furniture_establish-20010001,救護室壁紙
furniture_establish-10010002,救護室フロア
furniture_establish-20010002,救護室フロア
furniture_establish-10010003,未知の設備1
furniture_establish-20010003,未知の設備1
furniture_establish-10010005,赤十字
furniture_establish-20010005,赤十字
furniture_establish-10010006,半透明の額絵
furniture_establish-20010006,半透明の額絵
furniture_establish-10010007,救護室の照明
furniture_establish-20010007,救護室の照明
furniture_establish-10010100,埃だらけの作業台
furniture_establish-20010100,長いこと使われていなかったらしい作業台。少し修繕すれば、荒地をさまよう動物たちの応急手当てに使えるだろう。
furniture_establish-10010101,簡易作業台
furniture_establish-20010101,視力の悪い指揮官のために顕微鏡を設置し、医学の調べものに便利なコンピューターまでついてある。もちろん、手術前の手洗いと消毒は忘れずにね。
furniture_establish-10010102,簡易作業台
furniture_establish-20010102,視力の悪い指揮官のために顕微鏡を設置。また、コンピューターは医学資料を調べるのに便利。手術前には手洗い・消毒を忘れずに。
furniture_establish-10010103,簡易作業台
furniture_establish-20010103,視力の悪い指揮官のために顕微鏡を設置。また、コンピューターは医学資料を調べるのに便利。手術前には手洗い・消毒を忘れずに。
furniture_establish-10010104,簡易作業台
furniture_establish-20010104,視力の悪い指揮官のために顕微鏡を設置。また、コンピューターは医学資料を調べるのに便利。手術前には手洗い・消毒を忘れずに。
furniture_establish-10010105,簡易作業台
furniture_establish-20010105,視力の悪い指揮官のために顕微鏡を設置。また、コンピューターは医学資料を調べるのに便利。手術前には手洗い・消毒を忘れずに。
furniture_establish-10010106,多機能作業台
furniture_establish-20010106,レベルアップした作業台には先進的な生体情報モニターが設置され、より高度な手術が可能になった。
furniture_establish-10010107,多機能作業台
furniture_establish-20010107,レベルアップした作業台には高度なモニターシステムが設置され、難易度の高い手術が可能に。
furniture_establish-10010108,多機能作業台
furniture_establish-20010108,レベルアップした作業台には高度なモニターシステムが設置され、難易度の高い手術が可能に。
furniture_establish-10010109,多機能作業台
furniture_establish-20010109,レベルアップした作業台には高度なモニターシステムが設置され、難易度の高い手術が可能に。
furniture_establish-10010110,アドバンス・マルチ作業台
furniture_establish-20010110,グリフィンの中でも最先端をいく作業台。大型の無影灯や自動手術ツールを備えており、動物はもちろん、負傷した指揮官の治療も行える。
furniture_establish-10010200,埃を被った猫用ケージ
furniture_establish-20010200,誰かが置いていった古い猫用ケージ。軽く洗えばねこちゃんの休憩所になる。
furniture_establish-10010201,素朴な猫用ケージ
